MolName	MolCounts
B0260-MONOMER[i]	38
B0270-MONOMER[i]	6
B0427-MONOMER[i]	14
B0486-MONOMER[i]	12
B0511-MONOMER[i]	1
B0612-MONOMER[i]	10
B0709-MONOMER[i]	15
B0752-MONOMER[i]	131
B0770-MONOMER[i]	3
B0899-MONOMER[c]	292
B1006-MONOMER[i]	21
B1065-MONOMER[i]	18
B1296-MONOMER[i]	46
B1433-MONOMER[i]	20
B1543-MONOMER[i]	5
B1596-MONOMER[i]	95
B1599-MONOMER[i]	4
B1600-MONOMER[i]	0
B1634-MONOMER[i]	31
B1657-MONOMER[i]	34
B1690-MONOMER[i]	2
B1691-MONOMER[i]	1
B1775-MONOMER[i]	6
B1791-MONOMER[i]	23
B1828-MONOMER[i]	7
B2075-MONOMER[i]	0
B2076-MONOMER[i]	2
B2077-MONOMER[i]	13
B2098-MONOMER[i]	18
B2170-MONOMER[i]	7
B2246-MONOMER[i]	4
B2322-MONOMER[i]	18
B2372-MONOMER[i]	7
B2740-MONOMER[i]	9
B2771-MONOMER[i]	4
B2775-MONOMER[i]	11
B2789-MONOMER[i]	4
B2845-MONOMER[i]	18
B2975-MONOMER[i]	20
B3659-MONOMER[i]	5
B4141-MONOMER[i]	26
BADH-MONOMER[c]	3
BAER-MONOMER[c]	155
BAES-MONOMER[i]	21
BARA-MONOMER[i]	35
BASR-MONOMER[c]	64
BASS-MONOMER[i]	48
BCCP-MONOMER[c]	5654
BCR-MONOMER[i]	60
BETA-GLUCURONID-MONOMER[c]	0
BETACOMP-MONOMER[c]	448
BETAGALACTOSID-MONOMER[c]	2
BETT-MONOMER[i]	16
BGLF-MONOMER[i]	1
BIOTIN-CARBOXYL-MONOMER[c]	1
BIOTIN-SYN-MONOMER[c]	0
BIOTINLIG-MONOMER[c]	60
BRANCHED-CHAINAMINOTRANSFER-MONOMER[c]	2
BRNQ-MONOMER[i]	95
BTUC-MONOMER[i]	1
BTUD-MONOMER[i]	52
BTUE-MONOMER[c]	191
CADB-MONOMER[i]	0
CAIC-MONOMER[c]	11
CAIE-MONOMER[c]	5
CAIT-MONOMER[i]	0
CARBODEHYDRAT-MONOMER[c]	0
CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c]	0
CARBOXYL-TRANSFERASE-BETA-MONOMER[c]	612
CARBPSYN-LARGE[c]	0
CARBPSYN-SMALL[c]	143
CARDIOLIPSYN-MONOMER[i]	89
CARNDEHYDRA-MONOMER[c]	1
CARNRACE-MONOMER[c]	0
CCMA-MONOMER[i]	24
CCMB-MONOMER[i]	4
CCMC-MONOMER[i]	5
CCME-MONOMER[i]	7
CDPDIGLYPYPHOSPHA-MONOMER[i]	67
CDPDIGLYSYN-MONOMER[i]	75
CELA-MONOMER[c]	70
CELB-MONOMER[i]	0
CELC-MONOMER[c]	22
CFA-MONOMER[i]	0
CHAA-MONOMER[i]	137
CHAINF-MONOMER[c]	0
CHAINI-MONOMER[c]	2
CHD-MONOMER[c]	3
CHEB-MONOMER[c]	509
CHER-MONOMER[c]	1047
CHEW-MONOMER[c]	2137
CHEY-MONOMER[c]	3407
CHEZ-MONOMER[s]	1
CHORISMUTPREPHENDEHYDRAT-MONOMER[c]	0
CHORISMUTPREPHENDEHYDROG-MONOMER[c]	1
CHORPYRLY-MONOMER[c]	101
CITC-MONOMER[c]	4
CITRYLY-MONOMER[c]	3
CITSYN-MONOMER[c]	5
CITTRANS-MONOMER[c]	1
CMPKI-MONOMER[c]	92
CMR-MONOMER[i]	20
CMTA-MONOMER[i]	0
CMTB-MONOMER[c]	2
COBALADENOSYLTRANS-MONOMER[c]	133
COBS-MONOMER[i]	51
COBU-MONOMER[c]	0
CODB-MONOMER[i]	331
COPROGENOXI-MONOMER[c]	1
CORA-MONOMER[c]	85
CPDB-MONOMER[p]	193
CPM-KDOSYNTH-MONOMER[c]	475
CPXA-MONOMER[i]	88
CPXR-MONOMER[c]	779
CREB-MONOMER[c]	31
CREC-MONOMER[i]	1
CROBETREDUCT-MONOMER[c]	9
CRR-MONOMER[i]	8516
CTPSYN-MONOMER[c]	2
CYANLY-MONOMER[c]	1
CYCA-MONOMER[i]	302
CYCLASE-MONOMER[c]	0
CYDA-MONOMER[i]	0
CYDB-MONOMER[i]	24
CYDC-MONOMER[i]	39
CYDD-MONOMER[i]	0
CYNX-MONOMER[i]	6
CYOA-MONOMER[i]	1651
CYOB-MONOMER[i]	478
CYOC-MONOMER[i]	360
CYOD-MONOMER[i]	0
CYSA-MONOMER[i]	293
CYSD-MONOMER[c]	464
CYSN-MONOMER[c]	2
CYSP-MONOMER[p]	552
CYSS-MONOMER[c]	654
CYST-MONOMER[i]	0
CYSTATHIONINE-BETA-LYASE-MONOMER[c]	2
CYSW-MONOMER[i]	313
CYTDEAM-MONOMER[c]	1
CYTIDEAM-MONOMER[c]	0
CYTOCHROME-B561-MONOMER[i]	735
CYTOCHROME-B562-MONOMER[p]	255
CYTOCHROMEC-MONOMER[p]	15
CYTOCHROMEC552-MONOMER[p]	25
DALADALALIGA-MONOMER[c]	310
DALADALALIGB-MONOMER[c]	1
DALADEHYDROGA-MONOMER[i]	0
DAPASYN-MONOMER[c]	0
DCTA-MONOMER[i]	44
DCTP-DEAM-MONOMER[c]	2
DCUA-MONOMER[i]	434
DCUB-MONOMER[i]	1
DCUC-MONOMER[i]	5
DCUR-MONOMER[c]	63
DCUS-MONOMER[i]	14
DCYSDESULF-MONOMER[c]	1
DEHYDDEOXGALACTKIN-MONOMER[c]	43
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER[c]	10
DEOA-MONOMER[c]	0
DEOD-MONOMER[c]	5
DEOXYGLUCONOKIN-MONOMER[c]	380
DEOXYRIBOSE-P-ALD-MONOMER[c]	284
DETHIOBIOTIN-SYN-MONOMER[c]	1
DGTPTRIPHYDRO-MONOMER[c]	2
DHHB-METHYLTRANSFER-MONOMER[i]	0
DHPDIOXYGEN-MONOMER[c]	2
DIACYLGLYKIN-MONOMER[i]	2
DIAMINOPIMDECARB-MONOMER[c]	3
DIAMINOPIMEPIM-MONOMER[c]	1
DIENOYLCOAREDUCT-MONOMER[c]	13
DIHYDRODIPICSYN-MONOMER[c]	1
DIHYDROFOLATEREDUCT-MONOMER[c]	303
DIHYDROOROT-MONOMER[c]	0
DIHYDROOROTOX-MONOMER[c]	641
DIHYDROPICRED-MONOMER[c]	2
DIHYDROPTERIREDUCT-MONOMER[c]	0
DIHYDROXYACIDDEHYDRAT-MONOMER[c]	1
DINF-MONOMER[i]	9
DIOHBUTANONEPSYN-MONOMER[i]	1
