MolName	MolTotalCounts	MolRequestedCounts
EG10164_RNA__CPLX0-7705	0	0
EG10188_RNA__CPLX0-7705	0	0
EG10385_RNA__CPLX0-7705	0	0
EG10407_RNA__CPLX0-7705	0	0
EG10421_RNA__CPLX0-7705	0	0
EG10466_RNA__CPLX0-7705	0	0
EG10653_RNA__CPLX0-7705	0	0
EG10655_RNA__CPLX0-7705	0	0
EG10660_RNA__CPLX0-7705	0	0
EG10661_RNA__CPLX0-7705	0	0
EG10787_RNA__CPLX0-7705	0	0
EG10812_RNA__CPLX0-7705	0	0
EG11013_RNA__CPLX0-7705	0	0
EG11016_RNA__CPLX0-7705	0	0
EG11434_RNA__CPLX0-7705	0	0
EG11435_RNA__CPLX0-7705	0	0
EG11448_RNA__CPLX0-7705	0	0
EG11612_RNA__CPLX0-7705	0	0
EG11773_RNA__CPLX0-7705	0	0
EG11797_RNA__CPLX0-7705	0	0
EG12082_RNA__CPLX0-7705	0	0
EG12087_RNA__CPLX0-7705	0	0
EG12089_RNA__CPLX0-7705	0	0
EG12091_RNA__CPLX0-7705	0	0
EG12092_RNA__CPLX0-7705	0	0
EG12292_RNA__CPLX0-7705	0	0
EG12360_RNA__CPLX0-7705	0	0
G6982_RNA__CPLX0-7705	0	0
G6983_RNA__CPLX0-7705	0	0
RNPB-RNA__CPLX0-7705	0	0
