MolName	MolCounts
EG10153_RNA__FNR-4FE-4S-CPLX	0
EG10153_RNA__PHOSPHO-ARCA	0
EG10153_RNA__alpha	1
EG10154_RNA__FNR-4FE-4S-CPLX	0
EG10154_RNA__PHOSPHO-ARCA	0
EG10154_RNA__alpha	1
EG10155_RNA__alpha	1
EG10156_RNA__alpha	1
EG10157_RNA__alpha	1
EG10158_RNA__alpha	1
EG10159_RNA__alpha	1
EG10160_RNA__alpha	1
EG10161_RNA__alpha	1
EG10162_RNA__alpha	1
EG10163_RNA__alpha	1
EG10164_RNA__CPLX0-7705	0
EG10164_RNA__alpha	1
EG10165_RNA__alpha	1
EG10166_RNA__alpha	1
EG10167_RNA__alpha	1
EG10168_RNA__alpha	1
EG10169_RNA__alpha	1
EG10170_RNA__alpha	1
EG10172_RNA__alpha	1
EG10173_RNA__PD00288	0
EG10173_RNA__FNR-4FE-4S-CPLX	0
EG10173_RNA__PHOSPHO-ARCA	0
EG10173_RNA__alpha	1
EG10174_RNA__PD00288	0
EG10174_RNA__FNR-4FE-4S-CPLX	0
EG10174_RNA__PHOSPHO-ARCA	0
EG10174_RNA__alpha	1
EG10175_RNA__alpha	1
EG10176_RNA__alpha	1
EG10177_RNA__alpha	1
EG10178_RNA__alpha	1
EG10179_RNA__alpha	1
EG10180_RNA__alpha	1
EG10181_RNA__alpha	1
EG10182_RNA__alpha	1
EG10183_RNA__alpha	1
EG10184_RNA__alpha	1
EG10185_RNA__alpha	1
EG10186_RNA__alpha	1
EG10187_RNA__alpha	1
EG10188_RNA__CPLX0-7705	0
EG10188_RNA__PD00288	0
EG10188_RNA__FNR-4FE-4S-CPLX	0
EG10188_RNA__alpha	1
EG10189_RNA__alpha	1
EG10190_RNA__alpha	1
EG10191_RNA__alpha	1
EG10192_RNA__alpha	1
EG10193_RNA__alpha	1
EG10194_RNA__alpha	1
EG10195_RNA__alpha	1
EG10196_RNA__alpha	1
EG10197_RNA__alpha	1
EG10198_RNA__alpha	1
EG10200_RNA__alpha	1
EG10201_RNA__alpha	1
EG10202_RNA__alpha	1
EG10203_RNA__alpha	1
EG10204_RNA__alpha	1
EG10205_RNA__alpha	1
EG10206_RNA__CPLX0-7671	0
EG10206_RNA__alpha	1
