MolName	MolTotalCounts	MolRequestedCounts
EG10095_RNA__PHOSPHO-NARL	0	0
EG10232_RNA__PHOSPHO-NARL	0	0
EG10233_RNA__PHOSPHO-NARL	0	0
EG10234_RNA__PHOSPHO-NARL	0	0
EG10285_RNA__PHOSPHO-NARL	0	0
EG10330_RNA__PHOSPHO-NARL	0	0
EG10331_RNA__PHOSPHO-NARL	0	0
EG10332_RNA__PHOSPHO-NARL	0	0
EG10333_RNA__PHOSPHO-NARL	0	0
EG10638_RNA__PHOSPHO-NARL	0	0
EG10639_RNA__PHOSPHO-NARL	0	0
EG10640_RNA__PHOSPHO-NARL	0	0
EG10641_RNA__PHOSPHO-NARL	0	0
EG10642_RNA__PHOSPHO-NARL	0	0
EG10668_RNA__PHOSPHO-NARL	0	0
EG10701_RNA__PHOSPHO-NARL	0	0
EG11225_RNA__PHOSPHO-NARL	0	0
EG11258_RNA__PHOSPHO-NARL	0	0
G6456_RNA__PHOSPHO-NARL	0	0
G6457_RNA__PHOSPHO-NARL	0	0
G6845_RNA__PHOSPHO-NARL	0	0
G6846_RNA__PHOSPHO-NARL	0	0
G6847_RNA__PHOSPHO-NARL	0	0
G6848_RNA__PHOSPHO-NARL	0	0
G6849_RNA__PHOSPHO-NARL	0	0
G6982_RNA__PHOSPHO-NARL	0	0
G6983_RNA__PHOSPHO-NARL	0	0
G7826_RNA__PHOSPHO-NARL	0	0
G7827_RNA__PHOSPHO-NARL	0	0
