MolName	MolCounts
ABC-52-CPLX[i]	9
YHDZ-MONOMER[i]	10
YHDY-MONOMER[i]	0
YHDX-MONOMER[i]	10
YHDW-MONOMER[i]	15
ABC-53-CPLX[i]	0
G7889-MONOMER[i]	15
YHBG-MONOMER[i]	232
G7888-MONOMER[i]	0
ABC-54-CPLX[i]	50
FTSE-MONOMER[i]	1
FTSX-MONOMER[i]	34
ABC-55-CPLX[i]	0
YCJP-MONOMER[i]	2
YCJO-MONOMER[i]	0
YCJN-MONOMER[p]	5
ABC-56-CPLX[i]	2
G6478-MONOMER[i]	10
YCBM-MONOMER[i]	1
YCBE-MONOMER[i]	18
ABC-57-CPLX[i]	14
YBHS-MONOMER[i]	0
YBHR-MONOMER[i]	22
YBHF-MONOMER[i]	1
ABC-58-CPLX[i]	2
YNEA-MONOMER[i]	13
YDEZ-MONOMER[i]	4
YDEY-MONOMER[i]	1
YDEX-MONOMER[i]	1
ABC-59-CPLX[i]	7
YDDR-MONOMER[i]	0
YDDQ-MONOMER[i]	4
YDDS-MONOMER[i]	10
YDDP-MONOMER[i]	0
YDDO-MONOMER[i]	12
ABC-6-CPLX[i]	64
CYDD-MONOMER[i]	0
CYDC-MONOMER[i]	39
ABC-60-CPLX[i]	4
YPHD-MONOMER[i]	1
G7342-MONOMER[p]	0
YPHE-MONOMER[i]	4
ABC-61-CPLX[i]	12
YBBP-MONOMER[i]	0
YBBA-MONOMER[i]	57
ABC-62-CPLX[i]	64
YCFW-MONOMER[i]	0
YCFV-MONOMER[i]	62
YCFU-MONOMER[i]	30
ABC-63-CPLX[i]	29
ZNUC-MONOMER[i]	36
ZNUB-MONOMER[i]	0
ZNUA-MONOMER[p]	492
ABC-64-CPLX[i]	3
TAUA-MONOMER[p]	5
TAUC-MONOMER[i]	0
TAUB-MONOMER[i]	1
ABC-7-CPLX[i]	123
CYSA-MONOMER[i]	293
CYSW-MONOMER[i]	313
CYST-MONOMER[i]	0
CYSP-MONOMER[p]	552
ABC-70-CPLX[i]	137
SBP-MONOMER[p]	82
ABC-8-CPLX[i]	52
DPPD-MONOMER[i]	99
DPPF-MONOMER[i]	125
DPPB-MONOMER[i]	0
DPPC-MONOMER[i]	11
DPPA-MONOMER[i]	6823
ABC-9-CPLX[i]	28
FECE-MONOMER[i]	20
FECC-MONOMER[i]	33
FECD-MONOMER[i]	0
FECB-MONOMER[p]	150
ACETOACETYL-COA-TRANSFER-CPLX[c]	0
ATOA-CPLX[c]	0
ATOD-CPLX[c]	1
ACETOLACTSYNI-CPLX[c]	416
LARGEILVB-MONOMER[c]	1
SMALLILVN-MONOMER[c]	112
ACETOLACTSYNII-CPLX[c]	24
G8221-MONOMER[c]	979
LARGEILVG-MONOMER[c]	0
SMALLILVM-MONOMER[c]	158
ACETOLACTSYNIII-CPLX[c]	163
ACETOLACTSYNIII-ICHAIN-MONOMER[c]	1
ACETOLACTSYNIII-HCHAIN-MONOMER[c]	488
ACETYL-COA-ACETYLTRANSFER-CPLX[c]	81
