SimStep	Vol	Pseudo	total	Fast	act	Slow	inhib	input	output
0.856	1.0	6.022141e+23	1.27130105702321e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.864	1.0	6.022141e+23	0.0	1.27130105702321e+18	2.0467771443574753e+21	5.0852043125346376e+16	6.017055795687461e+19	3.011071e+20	0.0
0.872	1.0	6.022141e+23	1.3221531001485563e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.88	1.0	6.022141e+23	0.0	1.3221531001485563e+18	2.0467262923143502e+21	5.288612488413694e+16	6.016852387511582e+19	3.011071e+20	0.0
0.888	1.0	6.022141e+23	1.3750392250326932e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.896	1.0	6.022141e+23	0.0	1.3750392250326932e+18	2.046673406189466e+21	5.500156991463021e+16	6.0166408430085325e+19	3.011071e+20	0.0
0.904	1.0	6.022141e+23	1.4300407949473234e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.912	1.0	6.022141e+23	0.0	1.4300407949473234e+18	2.0466184046195512e+21	5.720163274774832e+16	6.016420836725221e+19	3.011071e+20	0.0
0.92	1.0	6.022141e+23	1.4872424276950717e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.928	1.0	6.022141e+23	0.0	1.4872424276950717e+18	2.0465612029868035e+21	5.948969809565246e+16	6.016192030190431e+19	3.011071e+20	0.0
0.936	1.0	6.022141e+23	1.546732125790724e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.944	1.0	6.022141e+23	0.0	1.546732125790724e+18	2.046501713288708e+21	6.186928605899254e+16	6.015954071394097e+19	3.011071e+20	0.0
0.952	1.0	6.022141e+23	1.6086014118497165e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.96	1.0	6.022141e+23	0.0	1.6086014118497165e+18	2.0464398440026488e+21	6.434405754244678e+16	6.015706594245752e+19	3.011071e+20	0.0
0.968	1.0	6.022141e+23	1.6729454693921633e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.976	1.0	6.022141e+23	0.0	1.6729454693921633e+18	2.0463754999451065e+21	6.6917819886882984e+16	6.015449218011307e+19	3.011071e+20	0.0
0.984	1.0	6.022141e+23	1.7398632892790464e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
0.992	1.0	6.022141e+23	0.0	1.7398632892790464e+18	2.0463085821252196e+21	6.959453272680616e+16	6.015181546727315e+19	3.011071e+20	0.0
1.0	1.0	6.022141e+23	1.8094578220058527e+18	0.0	2.0480484454144986e+21	0.0	6.022140999999996e+19	3.011071e+20	0.0
