MolName	MolTotalCounts	MolRequestedCounts
EG10134_RNA__PC00027	0	0
EG10135_RNA__PC00027	0	0
EG10317_RNA__PC00027	0	0
EG10325_RNA__PC00027	0	0
EG10401_RNA__PC00027	0	0
EG10441_RNA__PC00027	0	0
EG10478_RNA__PC00027	0	0
EG10480_RNA__PC00027	0	0
EG10481_RNA__PC00027	0	0
EG10483_RNA__PC00027	0	0
EG10497_RNA__PC00027	0	0
EG10638_RNA__PC00027	0	0
EG10642_RNA__PC00027	0	0
EG10653_RNA__PC00027	0	0
EG10654_RNA__PC00027	0	0
EG10655_RNA__PC00027	0	0
EG10659_RNA__PC00027	0	0
EG10672_RNA__PC00027	0	0
EG10734_RNA__PC00027	0	0
EG10776_RNA__PC00027	0	0
EG10777_RNA__PC00027	0	0
EG10778_RNA__PC00027	0	0
EG10782_RNA__PC00027	0	0
EG10897_RNA__PC00027	0	0
EG10990_RNA__PC00027	0	0
EG11172_RNA__PC00027	0	0
EG11311_RNA__PC00027	0	0
EG11501_RNA__PC00027	0	0
EG11670_RNA__PC00027	0	0
EG11773_RNA__PC00027	0	0
EG11781_RNA__PC00027	0	0
EG11923_RNA__PC00027	0	0
EG11945_RNA__PC00027	0	0
EG11948_RNA__PC00027	0	0
EG11949_RNA__PC00027	0	0
EG11950_RNA__PC00027	0	0
EG12082_RNA__PC00027	0	0
EG12083_RNA__PC00027	0	0
EG12278_RNA__PC00027	0	0
G6477_RNA__PC00027	0	0
G6479_RNA__PC00027	0	0
G6543_RNA__PC00027	0	0
G6545_RNA__PC00027	0	0
G6546_RNA__PC00027	0	0
G6714_RNA__PC00027	0	0
G6716_RNA__PC00027	0	0
G6717_RNA__PC00027	0	0
G6719_RNA__PC00027	0	0
G7626_RNA__PC00027	0	0
