MolName	MolTotalCounts	MolRequestedCounts
EG11385-MONOMER[c]	0	0
CPLX0-246[c]	271	0
G6906-MONOMER[c]	1	0
CPLX0-248[c]	973	0
G7325-MONOMER[c]	1	0
CPLX0-2502[c]	85	0
EG11597-MONOMER[c]	1	0
EG11598-MONOMER[c]	124	0
CPLX0-250[i]	2	0
MONOMER0-150[c]	4	0
MONOMER0-151[c]	7	0
MONOMER0-152[c]	0	0
MONOMER0-153[i]	6	0
MONOMER0-154[i]	2	0
MONOMER0-141[i]	1	0
MONOMER0-142[i]	2	0
MONOMER0-143[i]	6	0
MONOMER0-144[p]	18	0
CPLX0-251[c]	0	0
G6198-MONOMER[c]	0	0
CPLX0-2521[c]	72	0
MONOMER0-1501[c]	0	0
CPLX0-252[c]	274	0
FABH-MONOMER[c]	1	0
CPLX0-253[c]	381	0
EG12656-MONOMER[c]	1	0
CPLX0-2541[i]	151	0
MONOMER0-185[i]	0	0
CPLX0-254[c]	3	0
G7516-MONOMER[c]	1	0
CPLX0-255[c]	1	0
G7492-MONOMER[c]	2	0
CPLX0-2561[c]	37	0
CPLX0-7696[c]	72	0
CPLX0-7697[c]	0	0
CPLX0-2621[i]	15	0
MONOMER0-1564[i]	0	0
CPLX0-2641[i]	672	0
EG10461-MONOMER[i]	0	0
CPLX0-2661[c]	33	0
EG10574-MONOMER[c]	91	0
EG10575-MONOMER[c]	0	0
CPLX0-2681[c]	143	0
EG10978-MONOMER[c]	0	0
CPLX0-2802[c]	171	0
EG12193-MONOMER[c]	0	0
CPLX0-2861[c]	0	0
EG10116-MONOMER[c]	1	0
CPLX0-2881[c]	107	0
EG10542-MONOMER[c]	0	0
CPLX0-2921[i]	83	0
EG10463-MONOMER[i]	3	0
CPLX0-2941[i]	41	0
EG10968-MONOMER[i]	3	0
CPLX0-2982[i]	97	0
EG11506-MONOMER[i]	0	0
CPLX0-3001[c]	866	0
EG10695-MONOMER[c]	0	0
CPLX0-301[i]	25	0
EG11396-MONOMER[i]	1	0
CPLX0-3021[c]	29	0
G7925-MONOMER[c]	0	0
CPLX0-303[c]	171	0
EG11517-MONOMER[c]	1	0
CPLX0-3041[c]	105	0
EG11549-MONOMER[c]	1	0
CPLX0-3061[c]	88	0
EG10694-MONOMER[c]	4	0
CPLX0-3081[c]	99	0
EG10697-MONOMER[c]	0	0
CPLX0-3101[c]	0	0
EG10158-MONOMER[c]	12	0
CPLX0-3102[c]	90	0
EG10159-MONOMER[c]	3	0
CPLX0-3104[c]	30	0
CPLX0-881[c]	52	0
CPLX0-3107[c]	36	0
CPLX0-3108[c]	38	0
CPLX0-3121[c]	161	0
EG11723-MONOMER[c]	0	0
CPLX0-3141[c]	707	0
EG12657-MONOMER[c]	1	0
CPLX0-3161[c]	52	0
MONOMER0-1981[c]	2	0
CPLX0-3181[c]	3219	0
MONOMER0-2001[c]	1	0
CPLX0-3201[p]	121	0
EG10580-MONOMER[p]	0	0
CPLX0-321[c]	89	0
PDXJ-MONOMER[c]	7	0
CPLX0-3221[c]	27	0
YRAO-MONOMER[c]	0	0
CPLX0-322[c]	128	0
GSK-MONOMER[c]	1	0
CPLX0-3241[i]	0	0
NAPG-MONOMER[i]	0	0
NAPH-MONOMER[i]	2	0
CPLX0-3281[c]	0	0
EG10857-MONOMER[c]	581	0
CPLX0-3301[c]	1215	0
EG11111-MONOMER[c]	1	0
CPLX0-3323[i]	0	0
EG12054-MONOMER[i]	0	0
EG12053-MONOMER[i]	29	0
EG12052-MONOMER[i]	15	0
CPLX0-3361[i]	73	0
NUOB-MONOMER[i]	364	0
NUOC-MONOMER[i]	171	0
NUOE-MONOMER[i]	427	0
NUOF-MONOMER[i]	52	0
NUOG-MONOMER[i]	129	0
NUOI-MONOMER[i]	0	0
CPLX0-3382[s]	3	0
G7702-MONOMER[i]	3	0
G7703-MONOMER[e]	12	0
G7704-MONOMER[c]	7	0
G7705-MONOMER[i]	15	0
G7706-MONOMER[c]	8	0
G7707-MONOMER[c]	0	0
G7708-MONOMER[c]	2	0
G7709-MONOMER[i]	4	0
G7710-MONOMER[i]	9	0
G7711-MONOMER[i]	31	0
EG12173-MONOMER[i]	15	0
EG11359-MONOMER[i]	27	0
CPLX0-3401[s]	99	0
EG10308-MONOMER[s]	17718	0
EG10313-MONOMER[s]	10	0
EG10314-MONOMER[s]	4	0
EG10315-MONOMER[s]	0	0
CPLX0-341[c]	18	0
EG10004-MONOMER[c]	9	0
EG10859-MONOMER[i]	953	0
CPLX0-3482[c]	2	0
ALDDEHYDROGB-MONOMER[c]	2	0
CPLX0-3501[c]	172	0
G7452-MONOMER[c]	0	0
EG10743-MONOMER[c]	2	0
EG10844-MONOMER[c]	0	0
CPLX0-3561[c]	8	0
EG10484-MONOMER[c]	0	0
CPLX0-3581[c]	173	0
EG11852-MONOMER[c]	0	0
CPLX0-3601[c]	0	0
G7175-MONOMER[c]	138	0
CPLX0-3602[c]	205	0
EG11547-MONOMER[c]	1	0
CPLX0-3621[c]	4	0
EG10236-MONOMER[c]	1	0
CPLX0-3641[c]	7	0
G6755-MONOMER[c]	0	0
CPLX0-3661[c]	79	0
G7590-MONOMER[c]	1	0
CPLX0-3681[c]	246	0
EG10838-MONOMER[c]	1	0
CPLX0-3721[c]	240	0
EG12633-MONOMER[c]	1	0
CPLX0-3741[c]	22	0
GLUTRNAREDUCT-MONOMER[c]	1	0
CPLX0-3761[c]	135	0
EG10242-MONOMER[c]	1	0
CPLX0-3781[c]	77	0
MONOMER0-1041[c]	0	0
EG12844-MONOMER[c]	0	0
CPLX0-3821[i]	3	0
EG10483-MONOMER[i]	20	0
CPLX0-3841[c]	15	0
EG11294-MONOMER[c]	0	0
CPLX0-3861[c]	0	0
G7724-MONOMER[c]	7	0
CPLX0-3881[c]	8	0
FCL-MONOMER[c]	0	0
CPLX0-3901[c]	3	0
EG11685-MONOMER[c]	1	0
CPLX0-3921[c]	92	0
G6500-MONOMER[c]	1	0
CPLX0-3922[c]	15	0
CPLX0-3[c]	71	0
EG10763-MONOMER[c]	0	0
EG10765-MONOMER[c]	18	0
EG10239-MONOMER[c]	33	0
CPLX0-3923[c]	2213	0
G6895-MONOMER[c]	1	0
CPLX0-3924[c]	1128	0
G7865-MONOMER[c]	1	0
CPLX0-3925[c]	10	0
EG11056-MONOMER[c]	14	0
EG11057-MONOMER[c]	1	0
CPLX0-3927[c]	9	0
EG11731-MONOMER[c]	3	0
CPLX0-3929[c]	24	0
EG10973-MONOMER[c]	2	0
CPLX0-3930[c]	177	0
EG10320-MONOMER[c]	1	0
MONOMER0-2488[c]	91	0
CPLX0-3931[c]	34	0
EG10837-MONOMER[c]	1	0
CPLX0-3932[s]	3	0
ACRD-MONOMER[i]	1	0
EG11703-MONOMER[i]	0	0
CPLX0-3933[e]	397	0
EG10952-MONOMER[e]	1123	0
EG10658-MONOMER[e]	137	0
G7352-MONOMER[e]	2692	0
G6093-MONOMER[e]	427	0
G7320-MONOMER[e]	0	0
CPLX0-3934[c]	323	0
EG10599-MONOMER[c]	706	0
EG10600-MONOMER[c]	6	0
CPLX0-3936[c]	14	0
H2NEOPTERINALDOL-MONOMER[c]	6	0
CPLX0-3937[c]	0	0
EG10252-MONOMER[c]	4	0
EG10253-MONOMER[c]	2	0
CPLX0-3938[c]	37	0
EG12177-MONOMER[c]	1	0
CPLX0-3939[c]	127	0
G6334-MONOMER[c]	0	0
CPLX0-3941[c]	3	0
G6717-MONOMER[c]	2	0
CPLX0-3943[c]	61	0
G6645-MONOMER[c]	1	0
CPLX0-3948[c]	133	0
EG12600-MONOMER[c]	1	0
CPLX0-3949[c]	90	0
THIG-MONOMER[c]	2	0
THIH-MONOMER[c]	762	0
CPLX0-3950[c]	86	0
EG11023-MONOMER[c]	1	0
CPLX0-3951[i]	27	0
EG10605-MONOMER[i]	0	0
CPLX0-3952[c]	349	0
RIBOFLAVIN-SYN-MONOMER[c]	1	0
CPLX0-3953[c]	3353	0
RRSA-RRNA[c]	597	0
EG10900-MONOMER[c]	2028	0
EG10901-MONOMER[c]	2064	0
EG10902-MONOMER[c]	1906	0
EG10903-MONOMER[c]	1950	0
EG10904-MONOMER[c]	2000	0
EG10905-MONOMER[c]	3624	0
EG10906-MONOMER[c]	2160	0
EG10907-MONOMER[c]	1962	0
EG10908-MONOMER[c]	2220	0
EG10909-MONOMER[c]	0	0
EG10910-MONOMER[c]	2125	0
EG10911-MONOMER[c]	1957	0
EG10912-MONOMER[c]	2112	0
EG10913-MONOMER[c]	1962	0
EG10914-MONOMER[c]	1857	0
EG10915-MONOMER[c]	2167	0
EG10916-MONOMER[c]	2200	0
EG10917-MONOMER[c]	13441	0
EG10918-MONOMER[c]	1995	0
EG10919-MONOMER[c]	2150	0
EG10920-MONOMER[c]	38315	0
EG11508-MONOMER[c]	2069	0
CPLX0-3954[c]	299	0
EG12026-MONOMER[c]	2	0
CPLX0-3955[c]	0	0
EG10873-MONOMER[c]	0	0
CPLX0-3956[c]	1294	0
EG10871-MONOMER[c]	233	0
CPLX0-3957[c]	22	0
EG10927-MONOMER[c]	0	0
EG11094-MONOMER[c]	36	0
CPLX0-3958[c]	68	0
EG10458-MONOMER[c]	96	0
EG10459-MONOMER[c]	1	0
EG10460-MONOMER[c]	37	0
CPLX0-3959[c]	31	0
EG11069-MONOMER[c]	122	0
EG11071-MONOMER[c]	0	0
CPLX0-3961[p]	8	0
G7058-MONOMER[p]	3	0
CPLX0-3962[c]	3942	0
RRLA-RRNA[c]	0	0
RRFA-RRNA[c]	148	0
EG10864-MONOMER[c]	1452	0
EG10865-MONOMER[c]	1444	0
EG10866-MONOMER[c]	1357	0
EG10867-MONOMER[c]	1500	0
EG10868-MONOMER[c]	1493	0
EG10869-MONOMER[c]	1445	0
EG10870-MONOMER[c]	1313	0
EG10872-MONOMER[c]	1409	0
EG10874-MONOMER[c]	1580	0
EG10875-MONOMER[c]	1341	0
EG10876-MONOMER[c]	1196	0
EG10877-MONOMER[c]	1470	0
EG10878-MONOMER[c]	1464	0
EG10879-MONOMER[c]	1548	0
EG10880-MONOMER[c]	1518	0
EG10881-MONOMER[c]	1566	0
EG50001-MONOMER[c]	1467	0
EG10882-MONOMER[c]	1143	0
EG10883-MONOMER[c]	1504	0
EG10884-MONOMER[c]	1746	0
EG10885-MONOMER[c]	4650	0
EG50002-MONOMER[c]	19577	0
EG10886-MONOMER[c]	1339	0
EG10887-MONOMER[c]	1608	0
EG10888-MONOMER[c]	1184	0
EG10889-MONOMER[c]	1594	0
EG10890-MONOMER[c]	23305	0
EG10891-MONOMER[c]	1411	0
EG10892-MONOMER[c]	1402	0
EG11231-MONOMER[c]	7533	0
EG11232-MONOMER[c]	1491	0
CPLX0-3969[c]	61	0
EG10921-MONOMER[c]	3	0
CPLX0-3970[i]	87	0
G6665-MONOMER[i]	0	0
CPLX0-3971[c]	156	0
EG12410-MONOMER[c]	1	0
CPLX0-3976[i]	5	0
EG11486-MONOMER[i]	14	0
FUC4NACTRANS-MONOMER[i]	0	0
EG11295-MONOMER[i]	90	0
EG10764-MONOMER[c]	1	0
CPLX0-4[i]	3	0
G7686-MONOMER[i]	21	0
G7685-MONOMER[i]	0	0
CPLX0-5[s]	198	0
YBDA-MONOMER[i]	0	0
CPLX0-661[c]	16	0
EG11241-MONOMER[c]	3	0
CPLX0-682[c]	22	0
MONOMER0-541[c]	4	0
CPLX0-721[c]	67	0
EG11816-MONOMER[c]	1	0
CPLX0-7415[i]	7	0
LIPIDADISACCHARIDESYNTH-MONOMER[i]	3	0
CPLX0-7417[c]	16	0
G6212-MONOMER[c]	1	0
CPLX0-7418[c]	1046	0
EG10603-MONOMER[c]	1	0
CPLX0-7420[c]	269	0
G7327-MONOMER[c]	0	0
CPLX0-7421[c]	47	0
EG11888-MONOMER[c]	0	0
CPLX0-7422[c]	53	0
EG12309-MONOMER[c]	1	0
CPLX0-7423[c]	64	0
EG11254-MONOMER[c]	1	0
CPLX0-7425[c]	52	0
CPLX0-7757[c]	0	0
EG10443-MONOMER[c]	4	0
CPLX0-7426[c]	321	0
OPPSYN-MONOMER[c]	0	0
CPLX0-743[c]	76	0
DXS-MONOMER[c]	1	0
CPLX0-7444[c]	21	0
EG11126-MONOMER[c]	0	0
CPLX0-7450[s]	0	0
FLIG-FLAGELLAR-SWITCH-PROTEIN[s]	81	0
FLIM-FLAGELLAR-C-RING-SWITCH[s]	9	0
FLIN-FLAGELLAR-C-RING-SWITCH[s]	691	0
CPLX0-7451[s]	25	0
G370-MONOMER[i]	152	0
G7028-MONOMER[i]	202	0
EG11224-MONOMER[s]	287	0
EG11975-MONOMER[s]	205	0
EG11976-MONOMER[s]	471	0
EG11977-MONOMER[s]	67	0
EG11656-MONOMER[s]	9	0
G377-MONOMER[i]	167	0
G378-MONOMER[s]	351	0
CPLX0-7452[s]	33	0
FLAGELLAR-MOTOR-COMPLEX[s]	0	0
G361-MONOMER[s]	2295	0
EG11967-MONOMER[s]	1612	0
EG11545-MONOMER[s]	3193	0
EG10321-MONOMER[s]	23942	0
EG10841-MONOMER[s]	2320	0
CPLX0-7458[i]	9	0
G7545-MONOMER[c]	10	0
G7544-MONOMER[c]	0	0
MONOMER0-561[i]	14	0
CPLX0-7462[c]	2	0
EG11234-MONOMER[c]	0	0
CPLX0-7465[c]	26	0
ALARACECAT-MONOMER[c]	1	0
CPLX0-7466[c]	5	0
XYLULOKIN-MONOMER[c]	0	0
CPLX0-7520[c]	2	0
CYANLY-CPLX[c]	3	0
CPLX0-7521[c]	2065	0
EG12319-MONOMER[c]	3	0
CPLX0-7525[c]	10	0
MEND-MONOMER[c]	1	0
CPLX0-7529[s]	1	0
G7107-MONOMER[e]	0	0
G7105-MONOMER[i]	1	0
CPLX0-7530[e]	1	0
MONOMER0-282[e]	0	0
CPLX0-7532[i]	12	0
AMTB-MONOMER[i]	0	0
CPLX0-7533[e]	6056	0
EG10670-MONOMER[e]	2	0
EG10671-MONOMER[e]	1	0
CPLX0-7535[i]	0	0
YJDE-MONOMER[i]	1	0
CPLX0-7536[c]	2893	0
EG11663-MONOMER[c]	1	0
CPLX0-7538[i]	123	0
EG12878-MONOMER[i]	2	0
CPLX0-7561[c]	7	0
EG12096-MONOMER[c]	0	0
EG11250-MONOMER[c]	27	0
CPLX0-7564[c]	162	0
EG11081-MONOMER[c]	0	0
CPLX0-7597[c]	0	0
EG10375-MONOMER[c]	0	0
CPLX0-7608[i]	16	0
EG10997-MONOMER[i]	1	0
CPLX0-7609[i]	71	0
CPLX0-7610[i]	6	0
G7632-MONOMER[c]	2	0
G7633-MONOMER[i]	0	0
CPLX0-7613[c]	0	0
G7286-MONOMER[c]	4	0
CPLX0-7614[c]	496	0
ATPPHOSRIBOSTRANS-MONOMER[c]	0	0
CPLX0-7615[c]	1	0
KDGALDOL-MONOMER[c]	2	0
CPLX0-7616[c]	0	0
G6278-MONOMER[c]	3	0
CPLX0-7617[c]	704	0
EG12332-MONOMER[c]	1	0
CPLX0-761[c]	13	0
G7485-MONOMER[c]	1	0
G7486-MONOMER[c]	6	0
G7487-MONOMER[c]	0	0
CPLX0-7622[c]	1	0
LSERINEDEAM3-MONOMER[c]	0	0
CPLX0-7623[c]	1	0
G6606-MONOMER[c]	1	0
CPLX0-7624[c]	49	0
EG10955-MONOMER[c]	163	0
G7629-MONOMER[c]	0	0
CPLX0-7625[c]	116	0
G7185-MONOMER[c]	1	0
CPLX0-7626[i]	95	0
EG11160-MONOMER[i]	4	0
CPLX0-7627[i]	259	0
EG11180-MONOMER[i]	1	0
CPLX0-7628[e]	171	0
EG11569-MONOMER[e]	544	0
EG10855-MONOMER[e]	0	0
CPLX0-7629[i]	35	0
NHAA-MONOMER[i]	0	0
CPLX0-7630[p]	98	0
THIOESTERI-MONOMER[p]	2	0
CPLX0-7631[c]	1	0
FUCISOM-MONOMER[c]	1	0
CPLX0-7632[c]	126	0
PD01343[c]	3	0
CPLX0-7633[c]	2	0
FUCPALDOL-MONOMER[c]	3	0
CPLX0-7639[c]	0	0
CPLX0-7620[c]	0	0
CPLX0-7641[i]	50	0
YIIP-MONOMER[i]	1	0
CPLX0-7642[i]	129	0
PROP-MONOMER[i]	0	0
CPLX0-7643[c]	4972	0
KETOLREDUCTOISOM-MONOMER[c]	1	0
CPLX0-7644[i]	91	0
G6525-MONOMER[i]	2442	0
G6527-MONOMER[p]	2728	0
EG11735-MONOMER[c]	0	0
CPLX0-7645[c]	41	0
EG10355-MONOMER[c]	0	0
CPLX0-7646[c]	3	0
EG10817-MONOMER[c]	7	0
CPLX0-7647[c]	52	0
RIBOKIN-MONOMER[c]	0	0
CPLX0-7648[p]	114	0
G7348-MONOMER[p]	1	0
CPLX0-7649[c]	3	0
EG11865-MONOMER[c]	0	0
CPLX0-7652[c]	2	0
RHAMNISOM-MONOMER[c]	1	0
CPLX0-7653[i]	5	0
AQPZ-MONOMER[i]	3	0
CPLX0-7654[i]	148	0
GLPF-MONOMER[i]	2	0
CPLX0-7655[e]	36	0
EG10528-MONOMER[e]	2	0
CPLX0-7658[p]	18	0
G7920-MONOMER[p]	0	0
CPLX0-7659[c]	48	0
RIBOFLAVINSYNDEAM-MONOMER[c]	0	0
CPLX0-7660[c]	219	0
G6106-MONOMER[c]	3	0
CPLX0-7662[c]	1	0
BETA-GLUCURONID-MONOMER[c]	0	0
CPLX0-7666[c]	38	0
G6088-MONOMER[c]	1	0
CPLX0-7667[c]	159	0
G7564-MONOMER[c]	0	0
CPLX0-7668[c]	393	0
EG11134-MONOMER[c]	1	0
CPLX0-7669[c]	252	0
EG10490-MONOMER[c]	0	0
CPLX0-7672[c]	0	0
CPLX0-7701[c]	0	0
CPLX0-7674[i]	13	0
KCH-MONOMER[i]	1	0
CPLX0-7675[c]	1	0
G6988-MONOMER[c]	1	0
CPLX0-7678[c]	0	0
CPLX0-7677[c]	0	0
CPLX0-7679[c]	38	0
EG11929-MONOMER[c]	1	0
CPLX0-7682[c]	2828	0
G7748-MONOMER[c]	1	0
CPLX0-7683[c]	3	0
EG11845-MONOMER[c]	3	0
CPLX0-7684[i]	63	0
G7405-MONOMER[i]	3	0
G7406-MONOMER[i]	0	0
CPLX0-7685[c]	236	0
HYPOXANPRIBOSYLTRAN-MONOMER[c]	1	0
CPLX0-7686[c]	3325	0
EG11878-MONOMER[c]	0	0
CPLX0-7687[c]	44	0
G6811-MONOMER[c]	1	0
CPLX0-7688[c]	17	0
SUCCSEMIALDDEHYDROG-MONOMER[c]	3	0
CPLX0-7691[c]	7	0
EG11811-MONOMER[c]	3	0
CPLX0-7692[c]	54	0
EG10572-MONOMER[c]	1	0
CPLX0-7693[c]	312	0
G6731-MONOMER[c]	0	0
CPLX0-7694[c]	3	0
G6261-MONOMER[c]	1	0
CPLX0-7695[c]	39	0
G6810-MONOMER[c]	0	0
EG10618-MONOMER[c]	0	0
EG11252-MONOMER[c]	51	0
CPLX0-7698[c]	0	0
EG12165-MONOMER[c]	1	0
CPLX0-7704[i]	89	0
EG10613-MONOMER[i]	0	0
CPLX0-7705[c]	4677	0
PD00196[c]	0	0
CPLX0-7707[c]	0	0
MONOMER0-1781[c]	0	0
CPLX0-7708[c]	0	0
CPLX0-7702[c]	0	0
CPLX0-7709[c]	21	0
G6644-MONOMER[c]	6	0
CPLX0-7710[c]	10	0
PD00364[c]	0	0
CPLX0-7711[e]	1891	0
EG10455-MONOMER[e]	1	0
CPLX0-7712[c]	5	0
GDPMANMANHYDRO-MONOMER[c]	0	0
CPLX0-7713[c]	15	0
PD00297[c]	0	0
CPLX0-7717[i]	14	0
EG10748-MONOMER[i]	0	0
CPLX0-7718[c]	2	0
G7168-MONOMER[c]	5	0
CPLX0-7719[c]	418	0
QUINOLINATE-SYNTHA-MONOMER[c]	1	0
CPLX0-7720[i]	24	0
MONOMER0-2682[i]	0	0
G7171-MONOMER[i]	79	0
CPLX0-7722[c]	0	0
G7160-MONOMER[c]	2	0
CPLX0-7723[c]	7	0
G7158-MONOMER[c]	0	0
CPLX0-7724[c]	132	0
EG10284-MONOMER[c]	1	0
CPLX0-7725[c]	2	0
G7430-MONOMER[c]	8	0
G7429-MONOMER[c]	24	0
G7428-MONOMER[c]	0	0
G7427-MONOMER[c]	29	0
G7426-MONOMER[c]	58	0
CPLX0-7726[c]	159	0
G6501-MONOMER[c]	0	0
CPLX0-7727[c]	84	0
EG12366-MONOMER[c]	0	0
CPLX0-7728[c]	28	0
EG10454-MONOMER[c]	1	0
CPLX0-7731[c]	19	0
G6720-MONOMER[c]	0	0
CPLX0-7732[c]	19	0
G7263-MONOMER[c]	0	0
CPLX0-7733[c]	60	0
PD00250[c]	1	0
CPLX0-7734[c]	12	0
EG12235-MONOMER[c]	1	0
CPLX0-7740[c]	31	0
PD04028[c]	1	0
CPLX0-7741[c]	3	0
METHYLMALONYL-COA-MUT-MONOMER[c]	0	0
CPLX0-7744[c]	17	0
G7858-MONOMER[c]	1	0
CPLX0-7745[c]	5	0
G7262-MONOMER[c]	1	0
CPLX0-7747[c]	13263	0
G6660-MONOMER[c]	1	0
CPLX0-7755[c]	791	0
EG12172-MONOMER[c]	1	0
CPLX0-7756[c]	23	0
EG11212-MONOMER[c]	1	0
EG10442-MONOMER[c]	1	0
CPLX0-7758[c]	100	0
G6550-MONOMER[c]	1	0
CPLX0-7759[c]	67	0
PD03938[c]	0	0
CPLX0-7760[c]	92	0
ACONITASE-MONOMER[c]	0	0
CPLX0-7761[c]	1586	0
ACONITATEDEHYDRB-MONOMER[c]	0	0
CPLX0-7766[c]	373	0
EG11105-MONOMER[c]	3	0
CPLX0-7776[c]	1	0
EG11245-MONOMER[c]	1	0
CPLX0-7787[c]	153	0
G6109-MONOMER[c]	0	0
G6110-MONOMER[c]	175	0
CPLX0-7788[c]	5	0
G7145-MONOMER[c]	0	0
EG11289-MONOMER[c]	3	0
CPLX0-7789[c]	97	0
EG12855-MONOMER[c]	1	0
CPLX0-7791[c]	37	0
EG10836-MONOMER[c]	1	0
EG11131-MONOMER[c]	2	0
CPLX0-7794[c]	0	0
EG11847-MONOMER[c]	3	0
CPLX0-7796APO[c]	511	0
PD04032[c]	0	0
CPLX0-7797[c]	981	0
PD00197[c]	1	0
CPLX0-7801[c]	22	0
G7271-MONOMER[c]	0	0
CPLX0-7802[c]	15	0
EG11643-MONOMER[c]	1	0
CPLX0-7805[c]	6	0
G6157-MONOMER[p]	5	0
G6156-MONOMER[p]	0	0
G6155-MONOMER[c]	3	0
CPLX0-7806[c]	16	0
G7194-MONOMER[c]	0	0
CPLX0-7807[s]	2	0
EG11952-MONOMER[e]	0	0
YJCQ-MONOMER[i]	4	0
EG11954-MONOMER[i]	8	0
CPLX0-7808[c]	22	0
COPROGENOXI-MONOMER[c]	1	0
CPLX0-7810[c]	78	0
CPLX0-7811[c]	45	0
PROTOPORGENOXI-MONOMER[c]	1	0
CPLX0-7816[c]	2974	0
EG11100-MONOMER[c]	0	0
CPLX0-7817[c]	1606	0
EG12181-MONOMER[c]	0	0
CPLX0-7819[i]	7	0
KEFC-MONOMER[i]	0	0
CPLX0-7820[c]	1	0
G6804-MONOMER[c]	9	0
CPLX0-7822[c]	3	0
G7571-MONOMER[c]	99	0
G7572-MONOMER[c]	2	0
CPLX0-7823[i]	20	0
G6783-MONOMER[i]	0	0
G6784-MONOMER[c]	101	0
CPLX0-7824[c]	457	0
EG11378-MONOMER[c]	0	0
CPLX0-7826[c]	145	0
G7530-MONOMER[c]	0	0
CPLX0-7827[c]	27	0
G6326-MONOMER[c]	1	0
CPLX0-782[c]	364	0
EG11306-MONOMER[c]	1	0
CPLX0-7835[c]	5	0
G7287-MONOMER[c]	3	0
CPLX0-7836[c]	0	0
G7292-MONOMER[c]	2	0
CPLX0-7837[c]	85	0
EG11132-MONOMER[c]	2	0
CPLX0-7838[c]	32	0
G7454-MONOMER[c]	1	0
CPLX0-7839[c]	102	0
G7455-MONOMER[c]	1	0
CPLX0-7841[c]	0	0
ALPHACOMP-MONOMER[c]	3	0
CPLX0-7843[i]	13	0
FOCA-MONOMER[i]	1	0
CPLX0-7844[c]	3	0
G6669-MONOMER[c]	7	0
G6670-MONOMER[c]	0	0
CPLX0-7847[c]	20	0
PDXA-MONOMER[c]	1	0
CPLX0-7848[c]	2	0
G7855-MONOMER[c]	1	0
CPLX0-7852[c]	22	0
RCSB-MONOMER[c]	2301	0
EG11544-MONOMER[c]	0	0
CPLX0-7853[c]	675	0
EG11835-MONOMER[c]	0	0
CPLX0-7854[c]	55	0
EG12202-MONOMER[c]	0	0
CPLX0-7870[i]	11	0
ATOS-MONOMER[i]	1	0
CPLX0-7877[c]	1337	0
PGLUCISOM[c]	0	0
CPLX0-7878[c]	0	0
G7236-MONOMER[c]	3	0
CPLX0-7879[c]	1800	0
EG10666-MONOMER[c]	0	0
CPLX0-7882[c]	80	0
NAPHTHOATE-SYN-MONOMER[c]	4	0
CPLX0-7887[c]	109	0
G7242-MONOMER[c]	0	0
CPLX0-7888[c]	314	0
G7184-MONOMER[c]	1	0
CPLX0-7889[c]	32	0
EG11211-MONOMER[c]	0	0
CPLX0-7904[c]	0	0
EG12030-MONOMER[c]	1	0
CPLX0-7906[i]	0	0
CAIT-MONOMER[i]	0	0
CPLX0-7908[c]	176	0
EG12132-MONOMER[c]	2	0
CPLX0-7909[c]	0	0
G7366-MONOMER[c]	5	0
G7365-MONOMER[c]	296	0
CPLX0-7910[c]	47	0
EG11413-MONOMER[c]	2	0
EG11414-MONOMER[c]	0	0
CPLX0-7912[c]	3	0
G7288-MONOMER[c]	0	0
CPLX0-7913[c]	278	0
EG11884-MONOMER[c]	0	0
CPLX0-7914[c]	0	0
G7425-MONOMER[c]	0	0
CPLX0-7916[c]	355	0
G7948-MONOMER[c]	0	0
CPLX0-7917[c]	233	0
G7553-MONOMER[c]	0	0
CPLX0-7921[i]	304	0
CPLX0-7922[c]	230	0
EG11191-MONOMER[c]	1	0
CPLX0-7923[p]	33	0
G6939-MONOMER[p]	0	0
CPLX0-7927[c]	27	0
G6760-MONOMER[c]	0	0
CPLX0-7928[c]	93	0
CPLX0-7929[c]	206	0
CPLX0-7932[c]	186	0
CYTDEAM-MONOMER[c]	1	0
CPLX0-7933[c]	2	0
G7489-MONOMER[c]	0	0
CPLX0-7934[i]	32	0
EG10342-MONOMER[i]	52	0
G7424-MONOMER[i]	14	0
EG11086-MONOMER[i]	0	0
CPLX0-7935[c]	1	0
EG10719-MONOMER[c]	0	0
EG10718-MONOMER[c]	1	0
EG10717-MONOMER[c]	1	0
EG10716-MONOMER[c]	0	0
CPLX0-7936[c]	11	0
EG10725-MONOMER[c]	1	0
CPLX0-7938[c]	2375	0
PTSI-MONOMER[c]	0	0
CPLX0-7939[i]	30	0
EG11568-MONOMER[i]	0	0
CPLX0-7940[c]	3	0
G6140-MONOMER[c]	0	0
CPLX0-7942[c]	1150	0
EG10125-MONOMER[c]	0	0
CPLX0-7944[e]	88	0
MONOMER0-341[e]	1	0
CPLX0-7945[c]	137	0
G6540-MONOMER[c]	2	0
CPLX0-7946[c]	4	0
EG10852-MONOMER[c]	2	0
CPLX0-7947[c]	3	0
SUCCARGDIHYDRO-MONOMER[c]	0	0
CPLX0-7950[c]	7	0
MHPCHYDROL-MONOMER[c]	0	0
CPLX0-7951[c]	2	0
MHPDHYDROL-MONOMER[c]	4	0
CPLX0-7952[s]	261	0
EG10306-MONOMER[e]	737	0
CPLX0-7954[s]	6	0
CPLX0-7955[i]	3	0
YJCG-MONOMER[i]	1	0
CPLX0-7956[c]	6168	0
CPLX0-7957[c]	338	0
EG10943-MONOMER[c]	0	0
CPLX0-7958[i]	0	0
PHNL-MONOMER[i]	19	0
CPLX0-7959[c]	549	0
ASL-MONOMER[c]	2	0
CPLX0-7960[c]	156	0
