MolName	MolTotalCounts	MolRequestedCounts
EG10046_RNA__FNR-4FE-4S-CPLX	0	0
EG10153_RNA__FNR-4FE-4S-CPLX	0	0
EG10154_RNA__FNR-4FE-4S-CPLX	0	0
EG10173_RNA__FNR-4FE-4S-CPLX	0	0
EG10174_RNA__FNR-4FE-4S-CPLX	0	0
EG10188_RNA__FNR-4FE-4S-CPLX	0	0
EG10232_RNA__FNR-4FE-4S-CPLX	0	0
EG10233_RNA__FNR-4FE-4S-CPLX	0	0
EG10234_RNA__FNR-4FE-4S-CPLX	0	0
EG10301_RNA__FNR-4FE-4S-CPLX	0	0
EG10427_RNA__FNR-4FE-4S-CPLX	0	0
EG10456_RNA__FNR-4FE-4S-CPLX	0	0
EG10484_RNA__FNR-4FE-4S-CPLX	0	0
EG10485_RNA__FNR-4FE-4S-CPLX	0	0
EG10486_RNA__FNR-4FE-4S-CPLX	0	0
EG10487_RNA__FNR-4FE-4S-CPLX	0	0
EG10638_RNA__FNR-4FE-4S-CPLX	0	0
EG10639_RNA__FNR-4FE-4S-CPLX	0	0
EG10640_RNA__FNR-4FE-4S-CPLX	0	0
EG10641_RNA__FNR-4FE-4S-CPLX	0	0
EG10642_RNA__FNR-4FE-4S-CPLX	0	0
EG10643_RNA__FNR-4FE-4S-CPLX	0	0
EG10646_RNA__FNR-4FE-4S-CPLX	0	0
EG10649_RNA__FNR-4FE-4S-CPLX	0	0
EG10653_RNA__FNR-4FE-4S-CPLX	0	0
EG10654_RNA__FNR-4FE-4S-CPLX	0	0
EG10655_RNA__FNR-4FE-4S-CPLX	0	0
EG10701_RNA__FNR-4FE-4S-CPLX	0	0
EG10798_RNA__FNR-4FE-4S-CPLX	0	0
EG10799_RNA__FNR-4FE-4S-CPLX	0	0
EG11227_RNA__FNR-4FE-4S-CPLX	0	0
EG11228_RNA__FNR-4FE-4S-CPLX	0	0
EG11229_RNA__FNR-4FE-4S-CPLX	0	0
EG11258_RNA__FNR-4FE-4S-CPLX	0	0
EG11417_RNA__FNR-4FE-4S-CPLX	0	0
EG11519_RNA__FNR-4FE-4S-CPLX	0	0
EG11781_RNA__FNR-4FE-4S-CPLX	0	0
EG11784_RNA__FNR-4FE-4S-CPLX	0	0
EG11945_RNA__FNR-4FE-4S-CPLX	0	0
EG11946_RNA__FNR-4FE-4S-CPLX	0	0
EG11947_RNA__FNR-4FE-4S-CPLX	0	0
EG11948_RNA__FNR-4FE-4S-CPLX	0	0
EG11949_RNA__FNR-4FE-4S-CPLX	0	0
EG11950_RNA__FNR-4FE-4S-CPLX	0	0
EG12052_RNA__FNR-4FE-4S-CPLX	0	0
EG12053_RNA__FNR-4FE-4S-CPLX	0	0
EG12054_RNA__FNR-4FE-4S-CPLX	0	0
EG12055_RNA__FNR-4FE-4S-CPLX	0	0
EG12057_RNA__FNR-4FE-4S-CPLX	0	0
EG12058_RNA__FNR-4FE-4S-CPLX	0	0
EG12059_RNA__FNR-4FE-4S-CPLX	0	0
EG12060_RNA__FNR-4FE-4S-CPLX	0	0
EG12061_RNA__FNR-4FE-4S-CPLX	0	0
EG12062_RNA__FNR-4FE-4S-CPLX	0	0
EG12064_RNA__FNR-4FE-4S-CPLX	0	0
EG12067_RNA__FNR-4FE-4S-CPLX	0	0
EG12068_RNA__FNR-4FE-4S-CPLX	0	0
EG12075_RNA__FNR-4FE-4S-CPLX	0	0
EG12076_RNA__FNR-4FE-4S-CPLX	0	0
EG12077_RNA__FNR-4FE-4S-CPLX	0	0
EG12078_RNA__FNR-4FE-4S-CPLX	0	0
EG12079_RNA__FNR-4FE-4S-CPLX	0	0
EG12082_RNA__FNR-4FE-4S-CPLX	0	0
EG12089_RNA__FNR-4FE-4S-CPLX	0	0
EG12143_RNA__FNR-4FE-4S-CPLX	0	0
EG12169_RNA__FNR-4FE-4S-CPLX	0	0
EG12244_RNA__FNR-4FE-4S-CPLX	0	0
EG12424_RNA__FNR-4FE-4S-CPLX	0	0
G6456_RNA__FNR-4FE-4S-CPLX	0	0
G6457_RNA__FNR-4FE-4S-CPLX	0	0
G6619_RNA__FNR-4FE-4S-CPLX	0	0
G6845_RNA__FNR-4FE-4S-CPLX	0	0
G6846_RNA__FNR-4FE-4S-CPLX	0	0
G6847_RNA__FNR-4FE-4S-CPLX	0	0
G6848_RNA__FNR-4FE-4S-CPLX	0	0
G6849_RNA__FNR-4FE-4S-CPLX	0	0
G6897_RNA__FNR-4FE-4S-CPLX	0	0
G6898_RNA__FNR-4FE-4S-CPLX	0	0
G6899_RNA__FNR-4FE-4S-CPLX	0	0
G6900_RNA__FNR-4FE-4S-CPLX	0	0
G6901_RNA__FNR-4FE-4S-CPLX	0	0
G6902_RNA__FNR-4FE-4S-CPLX	0	0
G7314_RNA__FNR-4FE-4S-CPLX	0	0
G812_RNA__FNR-4FE-4S-CPLX	0	0
