Matches	Ontology -  all instances of class from New SmartTable with a sugar	Synonyms	Object ID
a sugar	D-glyceraldehyde	glyceraldehyde // alpha,beta-dihydroxypropionaldehyde // D-(+)-glyceraldehyde // D-2,3-dihydroxypropanal // D-2,3-dihydroxypropionaldehyde // D-aldotriose // D-glycerose	GLYCERALD
a sugar	D-mannitol	D-mitobronitol // (2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol	MANNITOL
a sugar	D-ribulose	D-erythro-pentulose // D-erythropentulose // erythropentulose	D-RIBULOSE
a sugar	D-sorbitol	L-gulitol // D-glucitol // meglumine // iso-sorbide // (2S,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol	SORBITOL
a sugar	D-xylonate		D-XYLONATE
a sugar	D-xylulose	xylulose // D-threo-pentulose	D-XYLULOSE
a sugar	dihydroxyacetone	glycerone // 1,3-dihydroxyacetone // dihydroxy-acetone	DIHYDROXYACETONE
a sugar	erythritol	phycitol // erythrit // butanetetrol // (2R,3S)-butane-1,2,3,4-tetrol // erythrite // erythro-tetritol // erythrol	ERYTHRITOL
a sugar	galactitol	dulcitol // dulcite // dulcose // (2R,3S,4R,5S)-hexane-1,2,3,4,5,6-hexol	GALACTITOL
a sugar	glycerol	1,2,3-trihydroxypropane // glycerin // 1,2,3-trihydroxypropanol	GLYCEROL
a sugar	glycolaldehyde	glycoaldehyde // 2-OH-acetaldehyde // hydroxyacetaldehyde // 2-hydroxyethanal	GLYCOLALDEHYDE
a sugar	glycolaldehyde phosphate		CPD-19745
a sugar	keto-D-fructose		CPD-15382
a sugar	keto-D-psicose	D-ribo-2-ketohexose // D-ribo-2-hexulose // erythrohexulose // D-allulose // psicose // pseudofructose // D-altrulose	PSICOSE
a sugar	keto-D-tagatose		TAGATOSE
a sugar	keto-L-glycero-L-galacto-octuluronate		CPD-23431
a sugar	keto-L-rhamnulose		CPD-16566
a sugar	keto-L-sorbose		CPD-15616
a sugar	L-arabinitol	L-arabinol // L-arabitol // L-lyxitol // (2S,4S)-pentane-1,2,3,4,5-pentol	L-ARABITOL
a sugar	L-fuculose	fuculose // 6-deoxy-L-tagatose	L-FUCULOSE
a sugar	L-glucose	L-glucopyranose	CPD-3607
a sugar	L-glyceraldehyde	(S)-2,3-dihydroxypropanal // L-(-)-glyceraldehyde // L-2,3-Dihydroxypropanal // L-2,3-Dihydroxypropionaldehyde // L-Aldotriose // L-Glycerose	L-GLYCERALDEHYDE
a sugar	L-iditol		CPD-369
a sugar	L-rhamnitol		CPD0-1114
a sugar	L-ribose		CPD-6001
a sugar	L-ribulose	ribulose	L-RIBULOSE
a sugar	L-xylulose	xylulose // L-threo-pent-2-ulose	L-XYLULOSE
a sugar	lactitol	importal // 4-O-beta-D-galactopyranosyl-D-glucitol // beta-D-galactopyranosyl-(1->4)-D-glucitol // D-lactitol	CPD0-2460
a sugar	maltitol	alpha-D-glucopyranosyl-(1->4)-D-glucitol // 4-O-alpha-D-glucopyranosyl-D-glucitol	CPD-3609
a sugar	N-acetyl-alpha-D-galactosamine	N-acetylgalactosamine // acetylgalactosamine // 2-acetamido-2-deoxy-D-galactopyranose // 2-acetamido-2-deoxy-D-galactose // N-acetyl-D-chondrosamine // alpha-D-galactopyranose, 2-(acetylamino)-2-deoxy- // N-acetyl-D-galactosamine // alpha-GalNAc	CPD-3604
a sugar	N-acetyl-alpha-D-galactosamine 1-phosphate	N-Acetyl-D-galactosamine 1-phosphate	CPD-7246
a sugar	N-acetyl-alpha-D-glucosamine 1-phosphate		N-ACETYL-D-GLUCOSAMINE-1-P
a sugar	N-acetyl-alpha-neuraminate	alpha-Neu5Ac // alpha-N-acetylneuraminate	CPD0-1122
a sugar	N-acetyl-beta-D-glucosamine	NAcGlc // N-acetylglucosamine // N-acetyl-D-glucosamine	N-ACETYL-D-GLUCOSAMINE
a sugar	N-acetyl-beta-D-mannosamine		N-ACETYL-D-MANNOSAMINE
a sugar	N-acetyl-beta-neuraminate	beta-Neu5Ac // beta-N-acetylneuraminate	CPD0-1123
a sugar	ribitol	meso-ribitol // adonitol // L-ribitol (incorrect) // D-ribitol (incorrect)	RIBITOL
a sugar	xylitol	(2R,3R,4S)-pentane-1,2,3,4,5-pentaol	XYLITOL
