Object ID	Reactants of reaction	Enzymes of a reaction
ACONITATEDEHYDR-RXN	CIT	CPLX0-7761 // CPLX0-7760
ACONITATEHYDR-RXN	CIS-ACONITATE // WATER	CPLX0-7761 // CPLX0-7760
MALATE-DEH-RXN	MAL // NAD	MALATE-DEHASE // MALIC-NAD-CPLX
ISOCITDEH-RXN	THREO-DS-ISO-CITRATE // NADP	ISOCITHASE-CPLX
2OXOGLUTARATEDEH-RXN	2-KETOGLUTARATE // CO-A // NAD	2OXOGLUTARATEDEH-CPLX
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	Ubiquinones // SUC	CPLX0-8160
CITSYN-RXN	OXALACETIC_ACID // ACETYL-COA // WATER	CITRATE-SI-SYNTHASE
FUMHYDR-RXN	MAL	EG11162-MONOMER // G6903-MONOMER // FUMARASE-A // FUMARASE-B // FUMARASE-C
SUCCCOASYN-RXN	SUC // CO-A // ATP	SUCCCOASYN
