Object ID	Transporters	Gene	Reactions	Reaction-Direction	GO terms (molecular function)	GO terms (cellular component)	GO terms (biological process)
TRANS-RXN0-286	G6561-MONOMER	G6561	TRANS-RXN0-286	PHYSIOL-LEFT-TO-RIGHT	GO:1901612 // GO:0015648	GO:0016021 // GO:0016020 // GO:0000935 // GO:0005887 // GO:0005886	GO:0034204 // GO:0034203 // GO:0071555 // GO:0008360 // GO:0015836 // GO:0009252
TRANS-RXN-242 // TRANS-RXN-242A // TRANS-RXN0-0244	RHTB-MONOMER	EG11469	TRANS-RXN-242 // TRANS-RXN-242A // TRANS-RXN0-0244	REVERSIBLE	GO:0015171 // GO:0015291 // GO:0015565 // GO:0042970	GO:0016020 // GO:0005887 // GO:0005886 // GO:0016021	GO:0003333 // GO:0006865 // GO:0015826 // GO:0042968
TRANS-RXN-99	BETT-MONOMER	EG10112	TRANS-RXN-99	REVERSIBLE	GO:0022857 // GO:0015220	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0071705 // GO:0055085 // GO:0019285 // GO:0006974 // GO:0015871
TRANS-RXN-108A // TRANS-RXN-108B // TRANS-RXN-108H // TRANS-RXN-474 // TRANS-RXN-108C // TRANS-RXN-108I // TRANS-RXN-475 // TRANS-RXN-108G // TRANS-RXN-108D // TRANS-RXN-108E // TRANS-RXN-476	NUPG-MONOMER	EG10664	TRANS-RXN-108A // TRANS-RXN-108B // TRANS-RXN-108H // TRANS-RXN-474 // TRANS-RXN-108C // TRANS-RXN-108I // TRANS-RXN-475 // TRANS-RXN-108G // TRANS-RXN-108D // TRANS-RXN-108E // TRANS-RXN-476	REVERSIBLE	GO:0015506	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:1901642
TRANS-RXN0-469	G7399-MONOMER	G7399	TRANS-RXN0-469	REVERSIBLE	GO:0015299 // GO:0034639	GO:0016020 // GO:0016021 // GO:0005887 // GO:0005886	GO:1902600 // GO:1902475 // GO:0006865 // GO:0015808 // GO:0032973 // GO:0033554
TRANS-RXN-481	G6370-MONOMER	G6370	TRANS-RXN-481	PHYSIOL-LEFT-TO-RIGHT	GO:0015288 // GO:0015267	GO:0016020 // GO:0046930 // GO:0016021 // GO:0009279	GO:0055085 // GO:0015774 // GO:0008643 // GO:0006811 // GO:0015772 // GO:0052778
RXN0-2421 // TRANS-RXN-241	YFEP-MONOMER	G7254	RXN0-2421 // TRANS-RXN-241	REVERSIBLE	GO:0046872 // GO:0046873 // GO:0005515 // GO:0015086 // GO:0015078 // GO:0005384 // GO:0015293 // GO:0015292	GO:0016020 // GO:0016021 // GO:0005886	GO:0071281 // GO:1902600 // GO:0071421 // GO:0070574 // GO:0055085 // GO:0006811 // GO:0030001 // GO:0015691 // GO:0006826 // GO:0006824 // GO:0034599 // GO:0006828
TRANS-RXN-294 // TRANS-RXN-295 // TRANS-RXN-387	EG12455-MONOMER	EG12455	TRANS-RXN-294 // TRANS-RXN-295 // TRANS-RXN-387	REVERSIBLE // PHYSIOL-LEFT-TO-RIGHT	GO:0022857 // GO:0051978 // GO:0005319	GO:0016020 // GO:0016021 // GO:0005887 // GO:0005886	GO:0055085 // GO:0051977 // GO:0006869 // GO:0045332 // GO:0006650
TRANS-RXN0-209	GNTT-MONOMER	EG12380	TRANS-RXN0-209	REVERSIBLE	GO:0015128	GO:0005887 // GO:0016021 // GO:0005886 // GO:0016020	GO:0035429 // GO:0008643 // GO:0046177 // GO:0019521
TRANS-RXN0-201	B0612-MONOMER	G6338	TRANS-RXN0-201	REVERSIBLE	GO:0022857 // GO:0015297	GO:0016021 // GO:0016020 // GO:0005886	GO:0055085
TRANS-RXN-3	KUP-MONOMER	EG11541	TRANS-RXN-3	REVERSIBLE	GO:0015293 // GO:0015387 // GO:0015079	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0006813 // GO:0006811 // GO:0071278 // GO:0071805
TRANS-RXN-27	SHIA-MONOMER	G7067	TRANS-RXN-27	REVERSIBLE	GO:0022857 // GO:0015293 // GO:0015530	GO:0016021 // GO:0016020 // GO:0005886	GO:0055085 // GO:0015733
TRANS-RXN0-239	NARU-MONOMER	EG12153	TRANS-RXN0-239	PHYSIOL-LEFT-TO-RIGHT	GO:0022857 // GO:0015113 // GO:0015112 // GO:0015514	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0055085 // GO:0042128 // GO:0015706 // GO:0015707
TRANS-RXN-77	TYRP-MONOMER	EG11041	TRANS-RXN-77	REVERSIBLE	GO:0015173	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0003333 // GO:0015801 // GO:0006865
RXN66-448 // TRANS-RXN-325	YGGA-MONOMER	EG11159	RXN66-448 // TRANS-RXN-325	RIGHT-TO-LEFT // PHYSIOL-LEFT-TO-RIGHT	GO:0015171 // GO:0015181	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0003333 // GO:0015809 // GO:1903826 // GO:0006865 // GO:1902023
TRANS-RXN-114 // TRANS-RXN0-550 // TRANS-RXN-278 // TRANS-RXN-277	PITB-MONOMER	EG12883	TRANS-RXN-114 // TRANS-RXN0-550 // TRANS-RXN-278 // TRANS-RXN-277	REVERSIBLE // PHYSIOL-LEFT-TO-RIGHT	GO:0005315	GO:0016020 // GO:0005887 // GO:0005886 // GO:0016021	GO:0006817 // GO:0035435
TRANS-RXN-339 // TRANS-RXN-44	EMRD-MONOMER	EG11693	TRANS-RXN-339 // TRANS-RXN-44	REVERSIBLE	GO:0022857 // GO:0042910 // GO:0015299	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0042908 // GO:0055085 // GO:1990961
RXN0-7050 // TRANS-RXN-282 // TRANS-RXN-281 // TRANS-RXN0-270	B4141-MONOMER	G7833	RXN0-7050 // TRANS-RXN-282 // TRANS-RXN-281 // TRANS-RXN0-270	REVERSIBLE	GO:0022857 // GO:0000102 // GO:0005294 // GO:0015179	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0055085 // GO:0006865 // GO:1903714 // GO:0015820 // GO:1903785 // GO:0015821 // GO:0071230
TRANS-RXN-126B // TRANS-RXN-126A // TRANS-RXN-126	BRNQ-MONOMER	EG12168	TRANS-RXN-126B // TRANS-RXN-126A // TRANS-RXN-126	REVERSIBLE	GO:0005515 // GO:0015658 // GO:0015190 // GO:0015188 // GO:0005304	GO:0016020 // GO:0016021 // GO:0005886	GO:0015807 // GO:0098655 // GO:1903785 // GO:1902475 // GO:0015803 // GO:0006865 // GO:0015829 // GO:0015820 // GO:0015818
TRANS-RXN0-453	G6859-MONOMER	G6859	TRANS-RXN0-453	REVERSIBLE	GO:0015562	GO:0016020 // GO:0005887 // GO:0005886 // GO:0016021	GO:0055085 // GO:1905887 // GO:0009372
TRANS-RXN-141B // TRANS-RXN-141A // TRANS-RXN-141	CORA-MONOMER	EG11463	TRANS-RXN-141B // TRANS-RXN-141A // TRANS-RXN-141	LEFT-TO-RIGHT	GO:0046873 // GO:0015099 // GO:0015095 // GO:0015087	GO:0005886 // GO:0016021 // GO:0016020 // GO:0005887	GO:0030001 // GO:0055085 // GO:1903830 // GO:0006811 // GO:0035444 // GO:0015693 // GO:0006824
TRANS-RXN-354 // TRANS-RXN-359 // TRANS-RXN0-592 // TRANS-RXN-356 // TRANS-RXN-355 // TRANS-RXN-357	TRANS-CPLX-201	 // EG11703 // EG11704	TRANS-RXN-354 // TRANS-RXN-359 // TRANS-RXN0-592 // TRANS-RXN-356 // TRANS-RXN-355 // TRANS-RXN-357	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-369 // TRANS-RXN-368	CPLX0-8263	EG11616	TRANS-RXN-369 // TRANS-RXN-368	REVERSIBLE			
RXN0-2481 // RXN0-7211 // RXN0-7210 // RXN-15315 // RXN0-0 // RXN0-7209 // RXN0-7208 // RXN0-7206 // RXN0-7204 // RXN0-1741 // TRANS-RXN0-445 // RXN0-7203 // RXN0-7202 // RXN0-7199 // RXN0-7201 // RXN0-7200 // RXN0-7247 // RXN0-7246 // RXN0-7245 // RXN0-7244 // RXN0-7243 // RXN0-7242 // RXN0-7241 // TRANS-RXN0-490 // RXN0-7207 // TRANS-RXN0-609 // TRANS-RXN0-615 // TRANS-RXN0-614 // TRANS-RXN0-612 // TRANS-RXN0-611 // TRANS-RXN0-608 // TRANS-RXN0-607 // TRANS-RXN0-606 // TRANS-RXN0-604 // TRANS-RXN0-603 // TRANS-RXN0-601 // TRANS-RXN0-598 // TRANS-RXN-380	CPLX0-7534	EG10671	RXN0-2481 // RXN0-7211 // RXN0-7210 // RXN-15315 // RXN0-0 // RXN0-7209 // RXN0-7208 // RXN0-7206 // RXN0-7204 // RXN0-1741 // TRANS-RXN0-445 // RXN0-7203 // RXN0-7202 // RXN0-7199 // RXN0-7201 // RXN0-7200 // RXN0-7247 // RXN0-7246 // RXN0-7245 // RXN0-7244 // RXN0-7243 // RXN0-7242 // RXN0-7241 // TRANS-RXN0-490 // RXN0-7207 // TRANS-RXN0-609 // TRANS-RXN0-615 // TRANS-RXN0-614 // TRANS-RXN0-612 // TRANS-RXN0-611 // TRANS-RXN0-608 // TRANS-RXN0-607 // TRANS-RXN0-606 // TRANS-RXN0-604 // TRANS-RXN0-603 // TRANS-RXN0-601 // TRANS-RXN0-598 // TRANS-RXN-380	REVERSIBLE // LEFT-TO-RIGHT			
ABC-18-RXN // TRANS-RXN0-541	ABC-18-CPLX	EG10592 // EG10594 // EG10593	ABC-18-RXN // TRANS-RXN0-541	PHYSIOL-LEFT-TO-RIGHT	GO:0005354 // GO:0015592	GO:0043190	GO:0015757 // GO:0015765
ABC-33-RXN	ABC-33-CPLX	EG12275 // EG12276 // EG20252	ABC-33-RXN	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-366	ABC-57-CPLX	G6410 // G6409 // G6411	TRANS-RXN-366	PHYSIOL-LEFT-TO-RIGHT			
ATPSYN-RXN // RXN0-7041	ATPSYN-CPLX	 // 	ATPSYN-RXN // RXN0-7041	REVERSIBLE // PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-1 // TRANS-RXN-381	CPLX0-7843	EG11258	TRANS-RXN-1 // TRANS-RXN-381	REVERSIBLE			
TRANS-RXN-168	CPLX-168	EG12127 // EG10165	TRANS-RXN-168	LEFT-TO-RIGHT	GO:0090589		GO:0015771
RXN0-1702	CPLX0-7952	EG10306 // 	RXN0-1702	PHYSIOL-LEFT-TO-RIGHT			
RXN0-3501 // RXN0-7124 // RXN-15119	NITRATREDUCTA-CPLX	EG10638 // EG10639 // EG10640	RXN0-3501 // RXN0-7124 // RXN-15119	LEFT-TO-RIGHT // PHYSIOL-LEFT-TO-RIGHT	GO:0048038 // GO:0009055 // GO:0008940	GO:0031235 // GO:0044799 // GO:0005886 // GO:0031224 // GO:0009325	GO:0009061
TRANS-RXN-352 // TRANS-RXN-367 // TRANS-RXN-359	TRANS-CPLX-204	 // EG12240 // EG12241	TRANS-RXN-352 // TRANS-RXN-367 // TRANS-RXN-359	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-233	CPLX0-4	G7686 // G7685	TRANS-RXN0-233	REVERSIBLE			
ABC-20-RXN	ABC-20-CPLX	EG12078 // EG12079 // EG12076 // EG12077 // EG12075	ABC-20-RXN	PHYSIOL-LEFT-TO-RIGHT			
RXN0-1721	CPLX0-8541	G6414 // 	RXN0-1721	LEFT-TO-RIGHT			
TRANS-RXN-283	ABC-40-CPLX	EG12012 // EG12011 // EG12010 // EG12009	TRANS-RXN-283	PHYSIOL-LEFT-TO-RIGHT	GO:0031459	GO:0055052	GO:0031460
RXN0-21 // RXN0-3	ABC-6-CPLX	EG11405 // EG10012	RXN0-21 // RXN0-3	PHYSIOL-LEFT-TO-RIGHT	GO:0016887 // GO:0020037 // GO:0034634 // GO:0033230	GO:0043190 // GO:0005887	GO:0045454 // GO:0034775 // GO:0033228
RXN0-1682	CPLX0-1941	 // EG10293	RXN0-1682	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-587 // RXN0-17	CPLX0-7	G7264 // EG10165	TRANS-RXN0-587 // RXN0-17	LEFT-TO-RIGHT // PHYSIOL-LEFT-TO-RIGHT	GO:0090588		GO:0009401
TRANS-RXN0-266 // TRANS-RXN-350	YDGEF-CPLX	G6858 // G6857	TRANS-RXN0-266 // TRANS-RXN-350	REVERSIBLE			
TRANS-RXN0-498	CPLX0-8271	EG12209	TRANS-RXN0-498	REVERSIBLE			
ABC-23-RXN // TRANS-RXN-238	ABC-23-CPLX	EG10713 // EG11283 // EG10714	ABC-23-RXN // TRANS-RXN-238	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-131 // RXN0-7189 // TRANS-RXN0-536 // TRANS-RXN0-537 // TRANS-RXN0-460 // TRANS-RXN0-551 // RXN0-7191	CPLX0-7654	EG10396	TRANS-RXN-131 // RXN0-7189 // TRANS-RXN0-536 // TRANS-RXN0-537 // TRANS-RXN0-460 // TRANS-RXN0-551 // RXN0-7191	REVERSIBLE // LEFT-TO-RIGHT		GO:0005886	
RXN-22427	ABC-62-CPLX	G6575 // G6574 // G6573	RXN-22427	PHYSIOL-LEFT-TO-RIGHT			
RXN0-5266 // RXN-19778 // RXN-19777	CYT-D-UBIOX-CPLX	EG10173 // EG10174 // G0-10441 // G0-10594	RXN0-5266 // RXN-19778 // RXN-19777	PHYSIOL-LEFT-TO-RIGHT // REVERSIBLE			
RXN0-2461	EIISGA	EG12495 // EG12494 // G7856	RXN0-2461	PHYSIOL-LEFT-TO-RIGHT	GO:0090563		GO:0015882 // GO:0009401
TRANS-RXN0-518 // TRANS-RXN-153 // TRANS-RXN-153A // TRANS-RXN-157	CPLX-154	EG10115	TRANS-RXN0-518 // TRANS-RXN-153 // TRANS-RXN-153A // TRANS-RXN-157	LEFT-TO-RIGHT // PHYSIOL-LEFT-TO-RIGHT			
ABC-10-RXN	ABC-10-CPLX	EG10295 // EG10296 // EG10298 // EG10294	ABC-10-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0015620	GO:0055052	GO:0015685
TRANS-RXN-283 // TRANS-RXN-324 // RXN-8638 // ABC-26-RXN	ABC-26-CPLX	EG10771 // EG10772 // EG10773	TRANS-RXN-283 // TRANS-RXN-324 // RXN-8638 // ABC-26-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0031459	GO:0043190	GO:0031460
RXN0-11	ABC-49-CPLX	G6429 // G6430 // G6432 // G6431	RXN0-11	PHYSIOL-LEFT-TO-RIGHT	GO:0042626 // GO:0034634	GO:0043190	GO:0034775
ABC-7-RXN // ABC-70-RXN // TRANS-RXN0-478 // TRANS-RXN0-479 // ABC-19-RXN	ABC-7-CPLX	EG10183 // EG10198 // EG10197 // EG10195	ABC-7-RXN // ABC-70-RXN // TRANS-RXN0-478 // TRANS-RXN0-479 // ABC-19-RXN	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-157 // TRANS-RXN0-583	CPLX-157	EG10787 // EG10165	TRANS-RXN-157 // TRANS-RXN0-583	PHYSIOL-LEFT-TO-RIGHT // LEFT-TO-RIGHT	GO:0090564 // GO:0022855		GO:0009401 // GO:0098708
TRANS-RXN-340 // TRANS-RXN0-628 // TRANS-RXN0-493 // TRANS-RXN-344 // TRANS-RXN0-533 // TRANS-RXN0-532	CPLX0-7963	EG10629	TRANS-RXN-340 // TRANS-RXN0-628 // TRANS-RXN0-493 // TRANS-RXN-344 // TRANS-RXN0-533 // TRANS-RXN0-532	REVERSIBLE			
TRANS-RXN0-222 // ABC-13-RXN	ABC-13-CPLX	G6359 // EG12662 // EG12661 // EG12663	TRANS-RXN0-222 // ABC-13-RXN	PHYSIOL-LEFT-TO-RIGHT		GO:0043190	
TRANS-RXN-328	ABC-29-CPLX	EG12305 // G2000 // G2001 // EG12304	TRANS-RXN-328	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-244 // RXN0-6 // TRANS-RXN0-200	CPLX0-7641	EG11873	TRANS-RXN0-244 // RXN0-6 // TRANS-RXN0-200	LEFT-TO-RIGHT // REVERSIBLE		GO:0005887 // GO:0005886	
ABC-9-RXN	ABC-9-CPLX	EG10290 // EG10288 // EG10289 // EG10287	ABC-9-RXN	PHYSIOL-LEFT-TO-RIGHT		GO:0055052	GO:0033214
TRANS-RXN-2	ATPASE-1-CPLX	G0-10439 // EG10513 // EG10514 // EG10515	TRANS-RXN-2	PHYSIOL-LEFT-TO-RIGHT			
FORMATEDEHYDROG-RXN	FORMATEDEHYDROGO-CPLX	EG11858 // EG11857 // EG11856	FORMATEDEHYDROG-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0043546 // GO:0036397 // GO:0008430	GO:0005886 // GO:0009326	GO:0045333 // GO:0015944 // GO:0022904 // GO:0009061
TRANS-RXN-351	CPLX0-7807	EG11952 // EG11953 // EG11954	TRANS-RXN-351	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-352 // TRANS-RXN-367 // TRANS-RXN-354 // TRANS-RXN-355	CPLX0-2141	 // EG10266 // EG10267	TRANS-RXN-352 // TRANS-RXN-367 // TRANS-RXN-354 // TRANS-RXN-355	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-237	CPLX0-7992	 // G7889 // G7664 // G7665 // EG11680 // G7888	TRANS-RXN-237	PHYSIOL-LEFT-TO-RIGHT			
RXN0-5256 // RXN-16420	CPLX0-8167		RXN0-5256 // RXN-16420	REVERSIBLE // LEFT-TO-RIGHT	GO:0020037 // GO:0033748 // GO:0009055 // GO:0051536 // GO:0016151	GO:0031237 // GO:0044569	GO:0006113 // GO:0019645 // GO:1902421 // GO:0009061
TRANS-RXN0-224 // TRANS-RXN-377 // TRANS-RXN-378	TRANS-200-CPLX	 // G6462 // G6461	TRANS-RXN0-224 // TRANS-RXN-377 // TRANS-RXN-378	PHYSIOL-LEFT-TO-RIGHT			
RXN0-2481 // RXN0-7211 // RXN0-7241 // RXN0-7210 // RXN-15315 // RXN0-0 // RXN0-7209 // RXN0-7208 // RXN0-7207 // RXN0-7206 // RXN0-7204 // RXN0-1741 // TRANS-RXN0-445 // RXN0-7203 // RXN0-7202 // RXN0-7201 // RXN0-7200 // RXN0-7199 // RXN0-7247 // RXN0-7246 // TRANS-RXN-380 // RXN0-7245 // RXN0-7244 // RXN0-7243 // RXN0-7242 // TRANS-RXN0-490 // TRANS-RXN0-615 // TRANS-RXN0-614 // TRANS-RXN0-612 // TRANS-RXN0-611 // TRANS-RXN0-609 // TRANS-RXN0-608 // TRANS-RXN0-607 // TRANS-RXN0-606 // TRANS-RXN0-604 // TRANS-RXN0-603 // TRANS-RXN0-601 // TRANS-RXN0-598	CPLX0-7533	EG10670	RXN0-2481 // RXN0-7211 // RXN0-7241 // RXN0-7210 // RXN-15315 // RXN0-0 // RXN0-7209 // RXN0-7208 // RXN0-7207 // RXN0-7206 // RXN0-7204 // RXN0-1741 // TRANS-RXN0-445 // RXN0-7203 // RXN0-7202 // RXN0-7201 // RXN0-7200 // RXN0-7199 // RXN0-7247 // RXN0-7246 // TRANS-RXN-380 // RXN0-7245 // RXN0-7244 // RXN0-7243 // RXN0-7242 // TRANS-RXN0-490 // TRANS-RXN0-615 // TRANS-RXN0-614 // TRANS-RXN0-612 // TRANS-RXN0-611 // TRANS-RXN0-609 // TRANS-RXN0-608 // TRANS-RXN0-607 // TRANS-RXN0-606 // TRANS-RXN0-604 // TRANS-RXN0-603 // TRANS-RXN0-601 // TRANS-RXN0-598	REVERSIBLE // LEFT-TO-RIGHT			
ABC-16-RXN // TRANS-RXN0-504 // TRANS-RXN0-503	ABC-16-CPLX	EG10558 // EG10555 // EG10556 // EG10554	ABC-16-RXN // TRANS-RXN0-504 // TRANS-RXN0-503	PHYSIOL-LEFT-TO-RIGHT	GO:0140297 // GO:0015423	GO:1990060 // GO:0043190	GO:0042956 // GO:0015768
ABC-32-RXN	ABC-32-CPLX	EG11572 // EG11573 // EG11574	ABC-32-RXN	PHYSIOL-LEFT-TO-RIGHT			
ABC-56-RXN	ABC-56-CPLX	G6478 // G6476 // EG12358	ABC-56-RXN	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-167 // TRANS-RXN-167A	CPLX-167	EG10635	TRANS-RXN-167 // TRANS-RXN-167A	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-277	PYRNUTRANSHYDROGEN-CPLX	EG10745 // EG10744	TRANS-RXN0-277	REVERSIBLE	GO:0008750	GO:0005886 // GO:0005887	GO:0006740
TRANS-RXN0-235	TRANS-CPLX-203	EG12283 // EG12282 // EG12281	TRANS-RXN0-235	LEFT-TO-RIGHT			
ABC-2-RXN	ABC-2-CPLX	EG10058 // EG10059 // EG10057	ABC-2-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0015147	GO:0055052	GO:0042882
ABC-4-RXN	ABC-4-CPLX	EG11628 // EG11626 // EG11627 // EG11624	ABC-4-RXN	PHYSIOL-LEFT-TO-RIGHT			
RXN0-5266	APP-UBIOX-CPLX	EG11380 // EG11379	RXN0-5266	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-42	CPLX0-7819	EG10521	TRANS-RXN-42	REVERSIBLE			
TRANS-RXN-100	CPLX0-7906	EG11561	TRANS-RXN-100	REVERSIBLE			
RXN0-1565 // TRANS-RXN0-283	CPLX0-1924	EG10126 // 	RXN0-1565 // TRANS-RXN0-283	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-403	SEC-SECRETION-CPLX	 //  // EG11197	TRANS-RXN-403	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-268 // ABC-8-RXN // 3.6.3.23-RXN	ABC-22-CPLX	EG10676 // EG10677 // EG10678 // EG10675 // EG10674	TRANS-RXN0-268 // ABC-8-RXN // 3.6.3.23-RXN	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-86	CPLX0-7627	EG11180	TRANS-RXN-86	LEFT-TO-RIGHT			
ABC-42-RXN	ABC-42-CPLX	EG11959 // EG11958 // EG12458	ABC-42-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0015593	GO:0043190	GO:0015754
TRANS-RXN-145	CPLX0-7653	EG13270	TRANS-RXN-145	REVERSIBLE			
TRANS-RXN-155 // TRANS-RXN-153A // TRANS-RXN-153	CPLX-153	EG10086	TRANS-RXN-155 // TRANS-RXN-153A // TRANS-RXN-153	LEFT-TO-RIGHT // PHYSIOL-LEFT-TO-RIGHT			
RXN-5068	CPLX-3945	G6544 // G6543	RXN-5068	LEFT-TO-RIGHT			
RXN0-1684	CPLX0-1943	EG10286 // 	RXN0-1684	PHYSIOL-LEFT-TO-RIGHT			
RXN0-4522 // TRANS-RXN0-202 // RXN0-7185 // RXN0-7186 // TRANS-RXN0-511 // TRANS-RXN0-510 // TRANS-RXN-383	METNIQ-METHIONINE-ABC-CPLX	EG11621 // EG11737 // EG11504	RXN0-4522 // TRANS-RXN0-202 // RXN0-7185 // RXN0-7186 // TRANS-RXN0-511 // TRANS-RXN0-510 // TRANS-RXN-383	PHYSIOL-LEFT-TO-RIGHT	GO:0033232 // GO:0015191	GO:0055052	GO:0015821
ABC-25-RXN	ABC-25-CPLX	EG11630 // EG11631 // EG11632 // EG11629	ABC-25-RXN	PHYSIOL-LEFT-TO-RIGHT			
ABC-64-RXN	ABC-64-CPLX	G6217 // G6219 // G6218	ABC-64-RXN	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-269	CPLX0-7684	G7405 // G7406	TRANS-RXN0-269	REVERSIBLE			
TRANS-RXN-236	CPLX0-7704	EG10613	TRANS-RXN-236	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-156	CPLX-156	EG11791 // EG11792	TRANS-RXN-156	LEFT-TO-RIGHT			GO:0009401
RXN3O-9786 // RXN-22385	CPLX-7	EG12236	RXN3O-9786 // RXN-22385	LEFT-TO-RIGHT			
TRANS-RXN-360	CPLX0-3932	 // EG10014 // EG11703	TRANS-RXN-360	PHYSIOL-LEFT-TO-RIGHT			
ABC-12-RXN	ABC-12-CPLX	EG10389 // EG10388 // EG10386	ABC-12-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0015186	GO:0043190	GO:0006868
ABC-28-RXN	ABC-28-CPLX	EG10814 // EG10816 // EG10815	ABC-28-RXN	PHYSIOL-LEFT-TO-RIGHT			
ABC-8-RXN	ABC-8-CPLX	EG12627 // EG12628 // EG12625 // EG12626 // EG10248	ABC-8-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0042626	GO:0055052	GO:0035442
FORMATEDEHYDROG-RXN	FORMATEDEHYDROGN-CPLX		FORMATEDEHYDROG-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0036397 // GO:0009055	GO:0071575 // GO:0016021 // GO:0009326	GO:0009061 // GO:0019645 // GO:0015944
TRANS-RXN0-280 // TRANS-RXN-90	CPLX0-1721	G6320 // G6322 // G6321 // EG12367	TRANS-RXN0-280 // TRANS-RXN-90	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-365 // TRANS-RXN-364 // TRANS-RXN-363	CPLX0-2121	 // EG11354 // EG11439	TRANS-RXN-365 // TRANS-RXN-364 // TRANS-RXN-363	PHYSIOL-LEFT-TO-RIGHT			
RXN-9615	CPLX0-7532	EG11821	RXN-9615	PHYSIOL-LEFT-TO-RIGHT			
ABC-35-RXN // ABC-36-RXN // ABC-15-RXN // TRANS-RXN-312	ABC-15-CPLX	EG10536 // EG10537 // EG10538 // EG10541 // EG10539	ABC-35-RXN // ABC-36-RXN // ABC-15-RXN // TRANS-RXN-312	PHYSIOL-LEFT-TO-RIGHT		GO:0055052	GO:0015807
ABC-35-RXN // TRANS-RXN-312	ABC-304-CPLX	EG10540 // EG10541 // EG10538 // EG10537 // EG10536	ABC-35-RXN // TRANS-RXN-312	PHYSIOL-LEFT-TO-RIGHT		GO:0055052	GO:0015807
TRANS-RXN-156 // TRANS-RXN-169	CPLX-166	EG10615	TRANS-RXN-156 // TRANS-RXN-169	LEFT-TO-RIGHT			
TRANS-RXN0-549 // RXN0-5413	CPLX0-7994	G6528 // G6529	TRANS-RXN0-549 // RXN0-5413	PHYSIOL-LEFT-TO-RIGHT	GO:0008375 // GO:0015159	GO:0005887	GO:0043708 // GO:0015774
TRANS-RXN-353 // TRANS-RXN-352 // TRANS-RXN-92	TRANS-CPLX-202	 // G7115 // G7114 // G7113	TRANS-RXN-353 // TRANS-RXN-352 // TRANS-RXN-92	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-268	CPLX0-3970	EG10675 // EG10676 // EG10677 // EG10678 // G6665	TRANS-RXN0-268	PHYSIOL-LEFT-TO-RIGHT			
RXN0-2162	CPLX0-7535	EG12462	RXN0-2162	REVERSIBLE			
ABC-19-RXN	ABC-19-CPLX	EG10152 // EG10002 // EG12427	ABC-19-RXN	PHYSIOL-LEFT-TO-RIGHT			
ABC-34-RXN // TRANS-RXN0-573	ABC-34-CPLX	EG11048 // EG11046 // EG11049 // EG11047	ABC-34-RXN // TRANS-RXN0-573	PHYSIOL-LEFT-TO-RIGHT	GO:0015169 // GO:0001406 // GO:0015430	GO:0055052	GO:0016036 // GO:0001407 // GO:0015794
TRANS-RXN0-454	ABC-58-CPLX	G6803 // G6802 // G6801 // G6800	TRANS-RXN0-454	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-169 // TRANS-RXN-156	CPLX-169	G8210 // EG10970 // EG10969	TRANS-RXN-169 // TRANS-RXN-156	LEFT-TO-RIGHT	GO:0090565 // GO:0090583		GO:0009401
RXN0-1981 // RXN0-5111 // TRANS-RXN0-576	CPLX0-7955	EG11942	RXN0-1981 // RXN0-5111 // TRANS-RXN0-576	REVERSIBLE			
