Object ID	Transporters	Gene	Reactions	Reaction-Direction	GO terms (molecular function)	GO terms (cellular component)	GO terms (biological process)
RXN0-2561 // TRANS-RXN-347 // TRANS-RXN-348 // TRANS-RXN-349	YDHE-MONOMER	EG12400	RXN0-2561 // TRANS-RXN-347 // TRANS-RXN-348 // TRANS-RXN-349	REVERSIBLE	GO:0022857 // GO:0015297 // GO:0015298 // GO:0042910 // GO:0071916	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0098655 // GO:0006855 // GO:0015833 // GO:0015031 // GO:0055085 // GO:0006814 // GO:0006811 // GO:0042908 // GO:1990961 // GO:0035442 // GO:0034614 // GO:0046677
RXN-5076	YGFO-MONOMER	G7501	RXN-5076	REVERSIBLE	GO:0022857 // GO:0042907	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005887	GO:0055085 // GO:0042906
TRANS-RXN0-562 // TRANS-RXN0-578	G7504-MONOMER	G7503	TRANS-RXN0-562 // TRANS-RXN0-578	RIGHT-TO-LEFT // LEFT-TO-RIGHT	GO:0022857 // GO:0005345 // GO:0015208	GO:0016021 // GO:0005887 // GO:0005886 // GO:0016020	GO:0055085 // GO:0098710 // GO:0035344
TRANS-RXN-16	YIDT-MONOMER	EG20053	TRANS-RXN-16	REVERSIBLE	GO:0022857 // GO:0015295 // GO:0042881	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:1902600 // GO:0055085 // GO:0042875 // GO:0034194
TRANS-RXN0-267 // TRANS-RXN0-288	YJDL-MONOMER	EG12469	TRANS-RXN0-267 // TRANS-RXN0-288	REVERSIBLE	GO:1904680 // GO:0022857 // GO:0015293 // GO:0071916 // GO:0015078 // GO:0042937 // GO:0015333	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005887	GO:0055085 // GO:0015833 // GO:0006857 // GO:0015031 // GO:1902600 // GO:0035442 // GO:0035443
RXN0-2501	YNFJ-MONOMER	G6850	RXN0-2501	REVERSIBLE	GO:0005247 // GO:0005244 // GO:0005254	GO:0034707 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0055085 // GO:0010447 // GO:0034765 // GO:0006821 // GO:0006811 // GO:0071468 // GO:1902476
TRANS-RXN0-209	GNTU-MONOMER	EG12631	TRANS-RXN0-209	REVERSIBLE	GO:0005402 // GO:0015128	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0034219 // GO:0008643 // GO:0019521 // GO:0035429
TRANS-RXN-123 // TRANS-RXN-35	EXUT-MONOMER	EG12738	TRANS-RXN-123 // TRANS-RXN-35	REVERSIBLE	GO:0022857 // GO:0015134	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0015778 // GO:0055085 // GO:0015736
TRANS-RXN0-288	B0709-MONOMER	G6378	TRANS-RXN0-288	REVERSIBLE	GO:1904680 // GO:0042937 // GO:0022857 // GO:0015333 // GO:0071916	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:1902600 // GO:0042939 // GO:0042938 // GO:0055085 // GO:0015833 // GO:0006857 // GO:0015031 // GO:0035442
TRANS-RXN-105 // TRANS-RXN-104 // TRANS-RXN0-515 // TRANS-RXN0-622	B2975-MONOMER	G7542	TRANS-RXN-105 // TRANS-RXN-104 // TRANS-RXN0-515 // TRANS-RXN0-622	REVERSIBLE // LEFT-TO-RIGHT	GO:0015295 // GO:0043879 // GO:0015129	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:1902600 // GO:0015727 // GO:0035873
TRANS-RXN-116	CODB-MONOMER	EG11327	TRANS-RXN-116	LEFT-TO-RIGHT	GO:0022857 // GO:0015209 // GO:0015295	GO:0016021 // GO:0005887 // GO:0005886 // GO:0016020	GO:1902600 // GO:0055085 // GO:0019858 // GO:0015856
TRANS-RXN0-539	TEHA-MONOMER	EG11883	TRANS-RXN0-539	LEFT-TO-RIGHT	GO:0042802 // GO:0046583	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0098655 // GO:0006811 // GO:0046677 // GO:0006812 // GO:0055085 // GO:0046690
TRANS-RXN-412	EG12217-MONOMER	EG12217	TRANS-RXN-412	PHYSIOL-LEFT-TO-RIGHT	GO:0022857	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0055085 // GO:0072531 // GO:1990397
TRANS-RXN-137	NIRC-MONOMER	EG10654	TRANS-RXN-137	LEFT-TO-RIGHT	GO:0015499 // GO:0022857 // GO:0015513	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0015724 // GO:0055085 // GO:0042128 // GO:0015707
TRANS-RXN0-495	DSDX-MONOMER	EG10250	TRANS-RXN0-495	LEFT-TO-RIGHT	GO:0015128 // GO:0042945	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005887	GO:0006865 // GO:0035429 // GO:0006974 // GO:0042942
TRANS-RXN0-205	MONOMER0-2797		TRANS-RXN0-205	LEFT-TO-RIGHT			
TRANS-RXN-69	YEEF-MONOMER	EG11896	TRANS-RXN-69	REVERSIBLE	GO:0022857 // GO:0015489 // GO:0015295	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0055085 // GO:1902600 // GO:0006865 // GO:0015847 // GO:0048870
TRANS-RXN-21 // RXN0-7077	GALP-MONOMER	EG12148	TRANS-RXN-21 // RXN0-7077	REVERSIBLE // PHYSIOL-LEFT-TO-RIGHT	GO:0022857 // GO:0015293 // GO:0015517	GO:0016021 // GO:0016020 // GO:0005886	GO:0008643 // GO:0055085 // GO:0015757
